Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
140,Joe Corvo\corvojo01,29,OTT,D,76,8,29,37,8,42,5.6,5,3,0,2,17,12,0,160,5.0,1373,18:04
141,Riley Cote\coteri01,24,PHI,LW,8,0,0,0,0,11,-0.1,0,0,0,0,0,0,0,3,0.0,36,4:30
142,Patrick Coulombe\coulopa01,21,VAN,D,7,0,1,1,-6,4,-0.2,0,0,0,0,1,0,0,11,0.0,95,13:38
143,Jeff Cowan\cowanje01,30,TOT,LW,63,7,5,12,3,125,1.2,6,0,1,0,5,0,0,74,9.5,507,8:02
144,Ryan Craig\craigry01,25,TBL,C,72,14,13,27,-11,55,1.9,10,4,0,2,6,7,0,130,10.8,1104,15:20
145,Sidney Crosby\crosbsi01,19,PIT,C,79,36,84,120,10,60,13.3,23,13,0,4,36,48,0,250,14.4,1640,20:46
146,Mark Cullen\cullema02,28,PHI,C,3,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,4,0.0,19,6:15
147,Matt Cullen\cullema01,30,NYR,C,80,16,25,41,0,52,3.5,11,2,3,2,18,5,2,217,7.4,1373,17:10
148,Jassen Cullimore\cullija01,34,CHI,D,65,1,6,7,-6,64,1.5,1,0,0,0,6,0,0,17,5.9,1058,16:17
149,Kyle Cumiskey\cumisky01,20,COL,D,9,1,1,2,0,2,0.4,1,0,0,0,1,0,0,8,12.5,121,13:28
150,Trevor Daley\daleytr01,23,DAL,D,74,4,8,12,2,63,4.4,4,0,0,1,6,2,0,68,5.9,1434,19:23
151,Kevin Dallman\dallmke01,25,LAK,D,53,1,9,10,-13,12,0.8,1,0,0,0,6,3,0,76,1.3,678,12:48
152,Mathieu Dandenault\dandema01,30,MTL,D,68,2,6,8,-8,40,1.7,2,0,0,0,6,0,0,54,3.7,1096,16:07
153,Mathieu Darche\darchma01,30,SJS,LW,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,18,9:13
154,Pavel Datsyuk\datsypa01,28,DET,C,79,27,60,87,36,20,10.5,20,5,2,5,35,24,1,207,13.0,1577,19:57
155,Rob Davison\davisro01,26,SJS,D,22,0,2,2,-2,27,0.3,0,0,0,0,2,0,0,14,0.0,205,9:19
156,Nigel Dawes\dawesni01,21,NYR,LW,8,1,0,1,-4,0,0.0,1,0,0,0,0,0,0,7,14.3,54,6:44
157,Greg de Vries\devrigr01,34,ATL,D,82,3,21,24,-3,66,3.9,3,0,0,0,12,9,0,102,2.9,1824,22:14
158,Pavol Demitra\demitpa01,32,MIN,RW,71,25,39,64,0,28,7.1,15,9,1,4,21,17,1,175,14.3,1466,20:39
159,Nathan Dempsey\dempsna01,32,BOS,D,17,0,1,1,-2,6,0.1,0,0,0,0,1,0,0,4,0.0,169,9:57
160,Boyd Devereaux\deverbo01,28,TOR,C,33,8,11,19,4,12,1.9,8,0,0,0,10,1,0,57,14.0,504,15:17
161,Niko Dimitrakos\dimitni01,27,PHI,RW,5,0,0,0,-4,6,-0.2,0,0,0,0,0,0,0,4,0.0,43,8:32
162,Joe DiPenta\dipenjo01,27,ANA,D,76,2,6,8,1,48,2.2,2,0,0,1,6,0,0,33,6.1,924,12:09
163,Shane Doan\doansh01,30,PHX,RW,73,27,28,55,-14,73,5.2,16,11,0,7,16,12,0,209,12.9,1493,20:27
164,Shean Donovan\donovsh01,32,BOS,RW,76,6,11,17,-13,56,0.1,6,0,0,0,9,0,2,108,5.6,1076,14:09
165,Jim Dowd\dowdji01,38,NJD,C,66,4,4,8,-5,20,0.3,3,0,1,1,3,0,1,44,9.1,547,8:17
166,Aaron Downey\downeaa01,32,MTL,RW,21,1,0,1,-6,48,-0.2,1,0,0,1,0,0,0,10,10.0,105,4:59
167,Dallas Drake\drakeda01,37,STL,RW,60,6,6,12,-14,38,-0.1,4,0,2,2,5,0,1,74,8.1,773,12:53
168,Kris Draper\drapekr01,35,DET,C,81,14,15,29,7,58,2.3,9,0,5,1,15,0,0,157,8.9,1357,16:45
169,Chris Drury\drurych01,30,BUF,C,77,37,32,69,1,30,7.5,17,17,3,9,22,10,0,199,18.6,1446,18:47
170,Brandon Dubinsky\dubinbr01,20,NYR,C,6,0,0,0,0,2,-0.1,0,0,0,0,0,0,0,9,0.0,49,8:10
171,J.P. Dumont\dumonjp01,28,NSH,RW,82,21,45,66,14,28,6.9,16,5,0,3,31,14,0,143,14.7,1328,16:12
172,Micki DuPont\duponmi01,26,PIT,D,3,0,1,1,-3,4,-0.1,0,0,0,0,0,1,0,6,0.0,41,13:48
173,Pascal Dupuis\dupuipa01,27,TOT,LW,71,14,5,19,-17,42,1.0,10,2,2,1,3,1,1,156,9.0,1103,15:32
174,Radek Dvorak\dvorara01,29,STL,RW,82,10,27,37,-6,48,2.2,8,1,1,1,19,8,0,139,7.2,1282,15:38
175,Ben Eager\eagerbe01,23,PHI,LW,63,6,5,11,-13,233,0.3,6,0,0,0,5,0,0,48,12.5,519,8:14
176,Mark Eaton\eatonma01,29,PIT,D,35,0,3,3,-6,16,0.4,0,0,0,0,2,0,1,22,0.0,672,19:12
177,Patrick Eaves\eavespa01,22,OTT,RW,73,14,18,32,1,36,2.8,10,3,1,1,15,3,0,130,10.8,892,12:13
178,Alexander Edler\edleral01,20,VAN,D,22,1,2,3,3,6,1.0,1,0,0,0,2,0,0,10,10.0,252,11:27
179,Christian Ehrhoff\ehrhoch01,24,SJS,D,82,10,23,33,8,63,7.3,4,6,0,2,11,12,0,164,6.1,1523,18:34
180,Nils Ekman\ekmanni01,30,PIT,RW,34,6,9,15,-14,24,0.7,4,2,0,0,5,4,0,69,8.7,469,13:49
181,Patrik Elias\eliaspa01,30,NJD,C,75,21,48,69,1,38,7.1,13,8,0,5,25,23,0,267,7.9,1396,18:37
182,Matt Ellis\ellisma01,25,DET,LW,16,0,0,0,-1,6,-0.2,0,0,0,0,0,0,0,22,0.0,89,5:35
183,Matt Ellison\ellisma02,23,PHI,RW,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,12,5:58
184,Steve Eminger\emingst01,23,WSH,D,68,1,16,17,-14,63,1.6,1,0,0,0,13,0,3,27,3.7,1288,18:56
185,Martin Erat\eratma01,25,NSH,LW,68,16,41,57,13,50,5.5,10,5,1,3,28,13,0,132,12.1,1290,18:59
186,Anders Eriksson\eriksan01,32,CBJ,D,79,0,23,23,12,46,5.5,0,0,0,0,14,8,1,78,0.0,1596,20:12
187,Loui Eriksson\erikslo01,21,DAL,LW,59,6,13,19,-3,18,1.3,4,2,0,0,10,3,0,78,7.7,778,13:11
188,John Erskine\erskijo01,26,WSH,D,29,1,6,7,-13,69,0.1,1,0,0,0,4,1,1,14,7.1,523,18:03
189,Garnet Exelby\exelbga01,25,ATL,D,58,2,8,10,2,56,2.2,1,0,1,0,8,0,0,57,3.5,1044,18:00
190,Jim Fahey\faheyji01,27,NJD,D,13,0,1,1,0,2,0.4,0,0,0,0,1,0,0,7,0.0,140,10:47
191,Drew Fata\fatadr01,23,NYI,D,3,1,0,1,-2,5,0.1,1,0,0,0,0,0,0,1,100.0,31,10:17
192,Rico Fata\fatari01,26,WSH,LW,10,1,1,2,3,2,0.2,1,0,0,0,1,0,0,15,6.7,104,10:26
193,Sergei Fedorov*\fedorse01,37,CBJ,C,73,18,24,42,-7,56,3.6,9,7,2,2,11,11,2,163,11.0,1455,19:56
194,Todd Fedoruk\fedorto01,27,TOT,LW,58,3,11,14,-9,120,0.5,3,0,0,0,11,0,0,30,10.0,509,8:47
195,Ruslan Fedotenko\fedotru01,28,TBL,LW,80,12,20,32,-3,52,2.2,10,2,0,1,16,4,0,154,7.8,1301,16:15
196,Eric Fehr\fehrer01,21,WSH,RW,14,2,1,3,3,8,0.4,2,0,0,1,1,0,0,25,8.0,150,10:43
197,Andrew Ference\ferenan01,27,TOT,D,80,3,12,15,5,97,3.5,2,1,0,0,6,4,2,80,3.8,1580,19:45
198,Brad Ference\ferenbr01,27,CGY,D,5,0,0,0,-1,2,0.0,0,0,0,0,0,0,0,1,0.0,59,11:46
199,Vernon Fiddler\fiddlve01,26,NSH,C,72,11,15,26,11,40,2.3,10,0,1,1,15,0,0,90,12.2,981,13:38
200,Valtteri Filppula\filppva01,22,DET,C,73,10,7,17,8,20,1.6,10,0,0,1,7,0,0,76,13.2,822,11:16
201,Jeff Finger\fingeje01,27,COL,D,22,1,4,5,10,11,1.6,1,0,0,0,4,0,0,16,6.3,304,13:48
202,Patrick Fischer\fischpa01,31,PHX,C,27,4,6,10,0,24,0.9,4,0,0,1,6,0,0,32,12.5,293,10:51
203,Mike Fisher\fishemi01,26,OTT,C,68,22,26,48,15,41,5.1,13,7,2,3,19,5,2,193,11.4,1253,18:25
204,Rory Fitzpatrick\fitzpro02,32,VAN,D,58,1,6,7,12,46,3.0,1,0,0,1,4,0,2,41,2.4,817,14:06
205,Tomas Fleischmann\fleisto01,22,WSH,C,29,4,4,8,-6,8,0.4,3,1,0,1,4,0,0,52,7.7,337,11:38
206,Adam Foote\footead01,35,CBJ,D,59,3,9,12,-17,71,2.2,1,2,0,0,4,5,0,78,3.8,1459,24:44
207,Peter Forsberg*\forsbpe01,33,TOT,C,57,13,42,55,7,88,5.4,7,6,0,3,23,19,0,99,13.1,1043,18:18
208,Kurtis Foster\fosteku01,25,MIN,D,57,3,20,23,-3,52,4.1,3,0,0,0,7,13,0,135,2.2,1025,17:59
209,Matt Foy\foyma01,23,MIN,RW,9,0,0,0,-1,4,-0.1,0,0,0,0,0,0,0,6,0.0,65,7:11
210,Johan Franzén\franzjo01,27,DET,C,69,10,20,30,20,37,3.0,9,0,1,2,16,1,3,151,6.6,1076,15:35
211,Colin Fraser\fraseco01,22,CHI,C,1,0,0,0,-1,2,0.0,0,0,0,0,0,0,0,0,,3,3:18
212,Mark Fraser\frasema01,20,NJD,D,7,0,0,0,-1,7,0.0,0,0,0,0,0,0,0,1,0.0,25,3:34
213,Jeff Friesen\friesje01,30,CGY,LW,72,6,6,12,-2,34,0.0,5,0,1,0,4,1,1,55,10.9,877,12:11
214,Dan Fritsche\fritsda01,21,CBJ,C,59,12,15,27,3,35,2.8,6,5,1,4,12,3,0,81,14.8,828,14:02
215,Alex Frolov\froloal01,24,LAK,LW,82,35,36,71,-8,34,7.4,24,10,1,6,16,18,2,195,17.9,1635,19:56
216,Michael Funk\funkmi01,20,BUF,D,5,0,2,2,2,0,0.4,0,0,0,0,2,0,0,1,0.0,17,3:26
217,Marián Gáborík\gaborma01,24,MIN,RW,48,30,27,57,12,40,8.1,17,12,1,7,17,10,0,196,15.3,942,19:38
218,Simon Gagne\gagnesi01,26,PHI,LW,76,41,27,68,2,30,8.6,26,13,2,4,18,8,1,291,14.1,1599,21:02
219,Paul Gaustad\gaustpa01,24,BUF,C,54,9,13,22,11,74,1.9,6,3,0,0,7,5,1,75,12.0,719,13:19
220,Denis Gauthier\gauthde01,30,PHI,D,43,0,4,4,-11,45,0.3,0,0,0,0,2,0,2,23,0.0,716,16:39
221,Gabe Gauthier\gauthga01,23,LAK,LW,5,0,0,0,-1,2,-0.1,0,0,0,0,0,0,0,6,0.0,50,9:57
222,Martin Gelinas\gelinma01,36,FLA,LW,82,14,30,44,7,36,4.1,7,7,0,1,24,6,0,171,8.2,1101,13:26
223,Carsen Germyn\germyca01,24,CGY,C,2,0,0,0,0,0,0.0,0,0,0,0,0,0,0,3,0.0,17,8:26
224,Bruno Gervais\gervabr01,22,NYI,D,51,0,6,6,-10,28,0.3,0,0,0,0,3,3,0,47,0.0,784,15:23
225,Ryan Getzlaf\getzlry01,21,ANA,C,82,25,33,58,17,66,7.0,13,11,1,6,13,20,0,203,12.3,1235,15:04
226,Tom Gilbert\gilbeto01,24,EDM,D,12,1,5,6,-1,0,1.1,1,0,0,0,4,1,0,13,7.7,241,20:05
227,Hal Gill\gillha01,31,TOR,D,82,6,14,20,11,91,4.2,6,0,0,1,13,0,1,79,7.6,1549,18:53
228,Brian Gionta\giontbr01,28,NJD,RW,62,25,20,45,-3,36,5.3,14,11,0,4,13,7,0,194,12.9,1167,18:49
229,Mark Giordano\giordma01,23,CGY,D,48,7,8,15,7,36,3.2,4,3,0,2,6,2,0,49,14.3,645,13:27
230,Dan Girardi\girarda01,22,NYR,D,34,0,6,6,7,8,1.9,0,0,0,0,5,0,1,33,0.0,538,15:50
231,Alexandre Giroux\giroual01,25,WSH,C,9,2,2,4,-4,2,0.3,2,0,0,0,1,1,0,11,18.2,92,10:11
232,Tim Gleason\gleasti01,24,CAR,D,57,2,4,6,-10,57,1.1,1,1,0,0,2,1,1,72,2.8,1076,18:53
233,Curtis Glencross\glenccu01,24,TOT,LW,9,1,0,1,-5,2,-0.1,1,0,0,0,0,0,0,8,12.5,82,9:09
234,Rob Globke\globkro01,24,FLA,C,19,0,1,1,-3,0,-0.3,0,0,0,0,1,0,0,15,0.0,115,6:04
235,Mike Glumac\glumami01,26,STL,C,3,0,1,1,1,0,0.1,0,0,0,0,1,0,0,4,0.0,25,8:24
236,Marcel Goc\gocma01,23,SJS,C,78,5,8,13,-2,24,0.3,4,0,1,0,8,0,0,96,5.2,937,12:01
237,Eric Godard\godarer01,26,CGY,RW,19,0,1,1,0,50,0.0,0,0,0,0,1,0,0,3,0.0,72,3:47
238,Steven Goertzen\goertst01,22,CBJ,RW,7,0,0,0,0,10,-0.1,0,0,0,0,0,0,0,1,0.0,37,5:21
239,Scott Gomez\gomezsc01,27,NJD,C,72,13,47,60,7,42,5.7,9,4,0,1,28,19,0,248,5.2,1363,18:56
240,Sergei Gonchar\gonchse01,32,PIT,D,82,13,54,67,-5,72,9.6,2,10,1,3,14,38,2,191,6.8,2178,26:34
241,Boyd Gordon\gordobo01,23,WSH,RW,71,7,22,29,10,14,2.0,5,0,2,0,18,0,4,104,6.7,1127,15:53
242,Lee Goren\gorenle01,29,VAN,RW,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,23,11:21
243,Josh Gorges\gorgejo01,22,TOT,D,54,1,3,4,-4,26,1.5,1,0,0,0,1,2,0,40,2.5,924,17:06
