,Player,Age,Team,Position,Games Played,Goals,Assists,PTS,+/-,PIM,PPG,SHG,GWG,Shots,S%,TOI,BLK,HIT,FOW,Season
21,Viktor Arvidsson\arvidvi01,25,NSH,LW,58,34,14,48,12,26,3,2,7,195,17.4,1110,23,18,2,2
22,Zach Aston-Reese\astonza01,24,PIT,C,43,8,9,17,12,26,0,1,1,76,10.5,587,37,138,8,2
23,Andreas Athanasiou\athanan01,24,DET,C,76,30,24,54,-9,38,3,0,4,216,13.9,1290,26,33,171,2
24,Cam Atkinson\atkinca01,29,CBJ,RW,80,41,28,69,3,20,8,4,8,295,13.9,1550,25,27,24,2
25,Nicolas Aube-Kubel\aubekni01,22,PHI,RW,9,0,0,0,1,0,0,0,0,2,0.0,50,0,14,0,2
26,David Backes\backeda01,34,BOS,C,70,7,13,20,0,31,2,0,1,129,5.4,913,30,140,176,2
27,Mikael Backlund\backlmi01,29,CGY,C,77,21,26,47,34,52,1,1,4,205,10.2,1378,26,52,511,2
28,Nicklas Backstrom\backsni02,31,WSH,C,80,22,52,74,2,30,7,0,5,169,13.0,1596,30,54,700,2
29,Sven Baertschi\baertsv01,26,VAN,LW,26,9,5,14,-9,6,3,0,0,43,20.9,394,13,18,1,2
30,Josh Bailey\bailejo01,29,NYI,C,82,16,40,56,8,21,2,1,4,126,12.7,1380,32,19,140,2
31,Justin Bailey\baileju01,23,PHI,RW,11,0,1,1,0,2,0,0,0,5,0.0,63,5,9,0,2
32,Rudolfs Balcers\balceru01,21,OTT,LW,36,5,9,14,-7,10,3,0,1,48,10.4,445,24,18,1,2
33,Ivan Barbashev\barbaiv01,23,STL,C,80,14,12,26,-4,17,0,2,1,60,23.3,921,31,86,201,2
34,Mark Barberio\barbema01,28,COL,D,12,1,0,1,-6,4,0,0,0,11,9.1,183,14,13,0,2
35,Aleksander Barkov\barkoal01,23,FLA,C,82,35,61,96,-3,8,13,0,5,206,17.0,1833,61,28,1041,2
36,Tyson Barrie\barrity01,27,COL,D,78,14,45,59,-3,36,2,0,2,218,6.4,1699,93,48,0,2
37,Matt Bartkowski\bartkma01,30,MIN,D,2,1,0,1,2,0,0,0,0,2,50.0,21,1,1,0,2
38,Mathew Barzal\barzama01,21,NYI,C,82,18,44,62,-5,46,3,0,3,179,10.1,1470,56,25,241,2
39,Nathan Bastian\bastina01,21,NJD,RW,7,3,0,3,0,10,0,0,0,13,23.1,89,1,24,3,2
40,Drake Batherson\bathedr01,20,OTT,C,20,3,6,9,-2,6,2,0,2,18,16.7,268,21,17,3,2
41,Gavin Bayreuther\bayrega01,24,DAL,D,19,2,3,5,2,10,0,0,0,25,8.0,346,19,11,0,2
42,Jay Beagle\beaglja01,33,VAN,RW,57,3,10,13,-8,18,0,1,0,45,6.7,778,33,102,426,2
43,Jake Bean\beanja01,20,CAR,D,2,0,0,0,0,2,0,0,0,1,0.0,17,0,1,0,2
44,Nathan Beaulieu\beaulna01,26,TOT,D,48,3,9,12,6,39,0,0,0,60,5.0,744,42,60,0,2
45,Anthony Beauvillier\beauvan01,21,NYI,LW,81,18,10,28,1,8,1,0,4,156,11.5,1186,35,87,26,2
46,Matt Beleskey\belesma01,30,NYR,LW,4,1,0,1,1,5,0,0,0,3,33.3,29,1,7,1,2
47,Pierre-Edouard Bellemare\bellepi01,33,VEG,LW,76,6,9,15,2,6,0,2,0,108,5.6,945,51,71,393,2
48,Louis Belpedio\belpelo01,22,MIN,D,2,0,0,0,0,0,0,0,0,0,,26,4,1,0,2
49,Jamie Benn\bennja01,29,DAL,LW,78,27,26,53,14,56,8,0,2,189,14.3,1422,71,142,205,2
50,Jordie Benn\bennjo01,31,MTL,D,81,5,17,22,15,39,0,0,1,93,5.4,1474,128,124,0,2
51,Sam Bennett\bennesa01,22,CGY,C,71,13,14,27,-6,93,4,0,2,115,11.3,944,27,121,50,2
52,Matt Benning\bennima01,24,EDM,D,70,5,12,17,11,33,0,0,0,94,5.3,1046,59,109,0,2
53,Patrice Bergeron\bergepa01,33,BOS,C,65,32,47,79,23,30,9,4,3,205,15.6,1200,60,43,786,2
54,Patrik Berglund\berglpa01,30,BUF,C,23,2,2,4,-5,6,0,0,0,25,8.0,300,16,25,68,2
55,Tyler Bertuzzi\bertuty01,23,DET,LW,73,21,26,47,11,36,3,0,4,131,16.0,1206,39,76,10,2
56,Alex Biega\biegaal01,30,VAN,D,41,2,14,16,0,22,0,0,0,91,2.2,725,43,101,0,2
57,Clark Bishop\bishocl01,22,CAR,C,20,1,2,3,-3,6,0,0,0,16,6.3,189,5,39,69,2
58,Anthony Bitetto\bitetan01,28,TOT,D,36,0,3,3,-7,12,0,0,0,30,0.0,429,36,80,0,2
59,Anders Bjork\bjorkan01,22,BOS,LW,20,1,2,3,-1,2,0,0,0,18,5.6,236,12,9,1,2
60,Oliver Bjorkstrand\bjorkol01,23,CBJ,RW,77,23,13,36,8,8,3,0,1,161,14.3,950,34,43,5,2
61,Nick Bjugstad\bjugsni01,26,TOT,C,64,14,12,26,6,30,2,0,2,154,9.1,968,27,126,262,2
62,Colin Blackwell\blackco01,25,NSH,C,6,0,0,0,-1,2,0,0,0,5,0.0,58,3,10,13,2
63,Sammy Blais\blaissa01,22,STL,LW,32,2,2,4,-1,6,0,0,0,27,7.4,315,12,93,1,2
64,Joseph Blandisi\blandjo01,24,TOT,C,9,0,0,0,-1,6,0,0,0,8,0.0,67,1,10,0,2
65,Anton Blidh\blidhan01,23,BOS,LW,1,0,0,0,0,0,0,0,0,0,,14,1,6,0,2
66,Teddy Blueger\bluegte01,24,PIT,C,28,6,4,10,7,15,0,1,1,33,18.2,310,14,52,41,2
67,Mikkel Boedker\boedkmi01,29,OTT,RW,71,7,28,35,-23,6,2,0,1,88,8.0,996,28,54,7,2
68,Brock Boeser\boesebr01,21,VAN,RW,69,26,30,56,-2,22,6,0,3,209,12.4,1322,22,14,39,2
69,Zach Bogosian\bogosza01,28,BUF,D,65,3,16,19,-5,52,0,1,0,93,3.2,1406,116,83,0,2
70,Nick Bonino\boninni01,30,NSH,C,81,17,18,35,27,18,3,0,1,118,14.4,1321,70,24,586,2
71,William Borgen\borgewi01,22,BUF,D,4,0,0,0,-5,0,0,0,0,2,0.0,66,3,12,0,2
72,Henrik Borgström\borgshe01,21,FLA,C,50,8,10,18,-14,4,3,0,0,54,14.8,600,12,11,165,2
73,Mark Borowiecki\borowma01,29,OTT,D,53,1,4,5,-12,89,0,0,0,59,1.7,825,93,212,0,2
74,Robert Bortuzzo\borturo01,29,STL,D,59,2,8,10,9,47,0,0,0,75,2.7,913,72,95,0,2
75,Evan Bouchard\bouchev01,19,EDM,D,7,1,0,1,-5,2,1,0,0,10,10.0,86,8,6,0,2
76,Reid Boucher\bouchre01,25,VAN,C,1,0,0,0,0,0,0,0,0,0,,5,0,1,0,2
77,Gabriel Bourque\bourqga01,28,COL,LW,55,2,6,8,3,10,0,0,1,34,5.9,536,48,100,7,2
78,Jay Bouwmeester\bouwmja01,35,STL,D,78,3,14,17,-3,40,0,0,1,82,3.7,1617,127,61,0,2
79,Madison Bowey\boweyma01,23,TOT,D,50,2,8,10,-1,46,0,0,1,48,4.2,763,63,72,0,2
80,Johnny Boychuk\boychjo01,35,NYI,D,74,3,16,19,10,25,1,0,1,157,1.9,1393,120,144,0,2
81,Travis Boyd\boydtr01,25,WSH,C,53,5,15,20,6,6,0,0,1,35,14.3,521,21,13,76,2
82,Brian Boyle\boylebr01,34,TOT,C,73,18,6,24,-14,38,7,1,4,123,14.6,981,50,145,170,2
83,Tyler Bozak\bozakty01,32,STL,C,72,13,25,38,-3,20,2,0,3,141,9.2,1177,33,52,451,2
84,Erik Brannstrom\branner01,19,OTT,D,2,0,0,0,0,0,0,0,0,0,,36,1,1,0,2
85,Derick Brassard\brassde01,31,TOT,C,70,14,9,23,-19,39,2,0,0,110,12.7,1050,15,102,283,2
86,Jesper Bratt\brattje01,20,NJD,W,51,8,25,33,-8,6,1,0,1,91,8.8,774,22,36,4,2
87,Justin Braun\braunju01,31,SJS,D,78,2,14,16,-14,35,0,0,0,105,1.9,1584,120,121,0,2
88,Connor Brickley\brickco01,26,NYR,C,14,1,3,4,3,9,0,0,0,18,5.6,126,6,35,0,2
89,Daniel Brickley\brickda01,23,LAK,D,4,0,1,1,-2,0,0,0,0,2,0.0,51,4,5,0,2
90,Guillaume Brisebois\brisegu01,21,VAN,D,8,0,0,0,-4,0,0,0,0,5,0.0,88,7,3,0,2
91,T.J. Brodie\broditj01,28,CGY,D,79,9,25,34,29,24,1,1,1,102,8.8,1696,86,21,0,2
92,Jonas Brodin\brodijo01,25,MIN,D,82,4,14,18,-15,30,0,1,2,111,3.6,1685,135,61,0,2
93,Kyle Brodziak\brodzky01,34,EDM,C,70,6,3,9,-14,33,0,1,2,74,8.1,818,46,92,399,2
94,Jonny Brodzinski\brodzjo01,25,LAK,C,13,2,1,3,0,2,0,0,0,17,11.8,129,7,23,1,2
95,Troy Brouwer\brouwtr01,33,FLA,RW,75,12,9,21,-6,47,0,1,1,86,14.0,952,38,177,19,2
96,Connor Brown\brownco02,25,TOR,RW,82,8,21,29,11,16,0,0,0,85,9.4,1131,37,35,20,2
97,Dustin Brown\browndu01,34,LAK,RW,72,22,29,51,-17,24,9,1,3,180,12.2,1469,29,150,1,2
98,J.T. Brown\brownjt01,28,MIN,RW,56,3,5,8,0,29,0,0,0,56,5.4,514,16,99,5,2
99,Josh Brown\brownjo01,25,FLA,D,37,1,1,2,-3,28,0,0,0,28,3.6,492,31,80,0,2
100,Logan Brown\brownlo01,20,OTT,C,2,0,0,0,-2,0,0,0,0,2,0.0,21,1,0,2,2
101,Pavel Buchnevich\buchnpa01,23,NYR,LW,64,21,17,38,-10,13,7,0,1,119,17.6,971,20,60,7,2
102,Michael Bunting\buntimi01,23,ARI,LW,5,1,0,1,0,2,0,0,0,5,20.0,48,1,6,0,2
103,Andre Burakovsky\burakan01,23,WSH,LW,76,12,13,25,2,14,1,0,4,100,12.0,846,29,35,7,2
104,Erik Burgdoerfer\burgder01,30,OTT,D,4,0,0,0,-1,2,0,0,0,2,0.0,43,0,16,0,2
105,Brent Burns\burnsbr01,33,SJS,D,82,16,67,83,13,34,7,1,6,300,5.3,2058,105,90,0,2
106,Will Butcher\butchwi01,24,NJD,D,78,4,26,30,-17,18,1,0,1,108,3.7,1503,74,38,0,2
107,Chris Butler\butlech01,32,STL,D,13,1,1,2,3,0,0,0,0,10,10.0,183,17,17,0,2
108,Dustin Byfuglien\byfugdu01,33,WPG,D,42,4,27,31,4,69,1,0,1,115,3.5,1023,51,77,0,2
109,Paul Byron\byronpa01,29,MTL,C,56,15,16,31,16,17,0,2,3,94,16.0,816,36,114,12,2
110,Drake Caggiula\caggidr01,24,TOT,LW,55,12,11,23,-5,28,0,1,2,96,12.5,794,26,135,16,2
111,Ryan Callahan\callary01,33,TBL,RW,52,7,10,17,7,14,1,0,3,76,9.2,579,25,89,6,2
112,Matt Calvert\calvema01,29,COL,LW,82,11,15,26,-10,58,1,0,0,141,7.8,1164,51,115,40,2
113,Kyle Capobianco\capobky01,21,ARI,D,2,0,0,0,-2,0,0,0,0,1,0.0,32,2,2,0,2
114,Paul Carey\careypa01,30,TOT,C,7,0,0,0,0,0,0,0,0,4,0.0,75,3,3,1,2
115,Brandon Carlo\carlobr01,22,BOS,D,72,2,8,10,22,47,0,0,0,116,1.7,1506,88,134,1,2
116,John Carlson\carlsjo01,29,WSH,D,80,13,57,70,21,34,3,0,1,185,7.0,2005,164,54,0,2
117,Gabriel Carlsson\carlsga01,22,CBJ,D,1,0,0,0,-1,2,0,0,0,1,0.0,9,0,0,0,2
118,Ryan Carpenter\carpery01,28,VEG,C,68,5,13,18,-6,8,0,1,0,102,4.9,858,17,126,161,2
119,Daniel Carr\carrda01,27,VEG,LW,6,1,0,1,-1,0,0,0,0,11,9.1,59,3,9,0,2
120,Connor Carrick\carrico01,24,TOT,D,34,2,9,11,-13,19,0,0,1,42,4.8,571,37,25,0,2
121,Sam Carrick\carrisa01,26,ANA,C,6,0,1,1,-1,2,0,0,0,5,0.0,61,2,15,19,2
122,Trevor Carrick\carritr01,24,CAR,D,1,0,0,0,-1,5,0,0,0,0,,11,1,1,0,2
123,William Carrier\carriwi01,24,VEG,LW,54,8,1,9,-4,29,0,0,1,85,9.4,537,13,277,0,2
124,Jeff Carter\carteje01,34,LAK,C,76,13,20,33,-20,42,5,1,1,174,7.5,1380,30,80,607,2
125,Colby Cave\caveco01,24,TOT,C,53,3,5,8,-5,16,0,0,1,58,5.2,653,18,73,200,2
126,Cody Ceci\cecico01,25,OTT,D,74,7,19,26,-22,18,0,0,2,132,5.3,1670,142,120,0,2
127,Peter Cehlarik\cehlape01,23,BOS,LW,20,4,2,6,3,6,1,0,1,30,13.3,252,7,5,0,2
128,Erik Cernak\cernaer01,21,TBL,D,58,5,11,16,25,58,1,0,1,107,4.7,1117,79,198,0,2
129,Thomas Chabot\chaboth01,22,OTT,D,70,14,41,55,-12,32,1,1,2,185,7.6,1700,112,71,0,2
130,Michael Chaput\chapumi01,26,MTL,C,32,0,5,5,-4,14,0,0,0,31,0.0,359,17,53,124,2
131,Zdeno Chara\charazd01,41,BOS,D,62,5,9,14,22,57,1,0,2,99,5.1,1307,88,81,0,2
132,Rourke Chartier\chartro01,22,SJS,C,13,1,0,1,-5,2,0,0,0,19,5.3,122,3,14,34,2
133,Jake Chelios\chelija01,27,DET,D,5,0,0,0,0,2,0,0,0,5,0.0,86,5,7,0,2
134,Ben Chiarot\chiarbe01,27,WPG,D,78,5,15,20,6,62,0,0,1,111,4.5,1452,139,171,0,2
135,Alex Chiasson\chiasal01,28,EDM,RW,73,22,16,38,-1,32,8,1,1,123,17.9,1239,31,85,7,2
136,Filip Chlapik\chlapfi01,21,OTT,C,5,1,0,1,-2,4,0,0,0,9,11.1,69,4,1,8,2
137,Dennis Cholowski\cholode01,20,DET,D,52,7,9,16,-20,16,4,0,1,71,9.9,949,50,18,1,2
138,Jakob Chychrun\chychja01,20,ARI,D,53,5,15,20,-12,28,3,0,0,117,4.3,1074,77,74,0,2
139,Filip Chytil\chytifi01,19,NYR,C,75,11,12,23,-22,8,3,0,2,133,8.3,1034,21,29,68,2
140,Anthony Cirelli\cirelan01,21,TBL,C,82,19,20,39,25,34,0,5,5,123,15.4,1217,49,94,502,2
141,Casey Cizikas\cizikca01,27,NYI,C,73,20,13,33,22,36,0,2,3,111,18.0,1024,68,129,497,2
142,Fredrik Claesson\claesfr01,26,NYR,D,37,2,4,6,3,9,0,0,0,44,4.5,638,33,76,0,2
143,Adam Clendening\clendad01,26,CBJ,D,4,0,0,0,1,0,0,0,0,3,0.0,43,3,1,0,2
144,Kyle Clifford\cliffky01,28,LAK,LW,72,11,10,21,4,96,1,0,2,115,9.6,755,24,115,3,2
145,Connor Clifton\cliftco01,23,BOS,D,19,0,1,1,5,15,0,0,0,22,0.0,336,13,40,0,2
146,Cal Clutterbuck\cluttca01,31,NYI,RW,73,8,15,23,6,44,3,0,2,95,8.4,1020,40,209,15,2
147,Braydon Coburn\coburbr01,33,TBL,D,74,4,19,23,4,34,0,0,0,113,3.5,1192,62,96,0,2
148,Andrew Cogliano\coglian01,31,TOT,LW,78,6,11,17,1,22,1,0,1,106,5.7,982,32,68,11,2
149,Ian Cole\coleia01,29,COL,D,71,2,13,15,-1,115,0,0,0,82,2.4,1403,178,107,0,2
150,Blake Coleman\colembl01,27,NJD,C,78,22,14,36,-19,71,3,3,3,213,10.3,1327,44,225,109,2
151,Blake Comeau\comeabl01,32,DAL,RW,77,7,11,18,-7,42,0,0,2,102,6.9,1211,40,208,25,2
152,J.T. Compher\comphj.01,23,COL,LW,66,16,16,32,-8,31,4,3,3,118,13.6,1153,59,33,301,2
153,Max Comtois\comtoma01,20,ANA,LW,10,2,5,7,3,7,0,0,1,9,22.2,146,3,27,3,2
154,Cory Conacher\conacco01,29,TBL,LW,1,0,0,0,0,2,0,0,0,1,0.0,9,0,0,0,2
155,Erik Condra\condrer01,32,DAL,RW,6,1,0,1,-2,2,0,0,0,10,10.0,76,1,3,0,2
156,Kevin Connauton\connake01,28,ARI,D,50,1,7,8,-2,22,0,0,0,76,1.3,918,75,108,0,2
157,Brett Connolly\connobr01,26,WSH,RW,81,22,24,46,13,24,1,0,5,139,15.8,1080,25,53,9,2
158,Kyle Connor\connoky01,22,WPG,LW,82,34,32,66,-7,18,11,1,5,227,15.0,1579,21,9,8,2
159,Andrew Copp\coppan01,24,WPG,C,69,11,14,25,20,6,0,1,2,82,13.4,839,34,71,198,2
160,Nick Cousins\cousini01,25,ARI,C,81,7,20,27,-8,35,1,0,2,144,4.9,1097,51,115,243,2
161,Logan Couture\coutulo01,29,SJS,C,81,27,43,70,-6,22,6,2,3,204,13.2,1506,52,65,282,2
162,Sean Couturier\coutuse01,26,PHI,C,80,33,43,76,2,34,8,1,5,223,14.8,1770,60,40,755,2
163,Charlie Coyle\coylech01,26,TOT,C,81,12,22,34,-1,20,1,1,2,155,7.7,1359,56,77,322,2
164,Adam Cracknell\crackad01,33,ANA,RW,2,0,0,0,-1,0,0,0,0,3,0.0,21,0,6,0,2
165,Sidney Crosby\crosbsi01,31,PIT,C,79,35,65,100,18,36,12,0,3,220,15.9,1658,43,85,1012,2
166,Lawson Crouse\crousla01,21,ARI,LW,81,11,14,25,5,67,0,2,1,131,8.4,1049,44,288,24,2
167,Matt Cullen\cullema01,42,PIT,C,71,7,13,20,6,14,0,2,2,87,8.0,817,31,32,320,2
168,Josh Currie\currijo01,26,EDM,RW,21,2,3,5,2,2,0,0,0,19,10.5,183,17,39,2,2
169,Austin Czarnik\czarnau01,26,CGY,C,54,6,12,18,-1,8,0,0,3,65,9.2,612,24,10,30,2
170,Evgenii Dadonov\dadonev01,29,FLA,RW,82,28,42,70,-6,8,8,0,4,195,14.4,1506,42,33,2,2
171,Rasmus Dahlin\dahlira01,18,BUF,D,82,9,35,44,-13,34,5,0,4,177,5.1,1735,66,97,0,2
172,Carl Dahlstrom\dahlsca01,24,CHI,D,38,0,6,6,9,6,0,0,0,42,0.0,707,35,33,0,2
173,Michael Dal Colle\dalcomi01,22,NYI,LW,28,3,4,7,3,2,0,0,2,34,8.8,339,8,10,0,2
174,Trevor Daley\daleytr01,35,DET,D,44,2,6,8,-3,12,0,1,1,47,4.3,817,53,14,0,2
175,Zac Dalpe\dalpeza01,29,CBJ,RW,1,0,1,1,1,0,0,0,0,1,0.0,9,0,0,0,2
176,Phillip Danault\danauph01,25,MTL,LW,81,12,41,53,17,39,0,0,1,132,9.1,1440,60,95,882,2
177,Marko Daňo\danoma01,24,COL,C,8,0,0,0,-1,7,0,0,0,3,0.0,55,3,16,0,2
178,Laurent Dauphin\dauphla01,23,ARI,C,1,0,0,0,-1,0,0,0,0,2,0.0,12,1,0,0,2
179,Brandon Davidson\davidbr01,27,CHI,D,10,0,1,1,-4,15,0,0,0,7,0.0,138,15,17,0,2
180,Calvin de Haan\dehaaca01,27,CAR,D,74,1,13,14,1,20,0,0,1,102,1.0,1370,106,187,0,2
181,Jacob de La Rose\delarja01,23,DET,LW,60,3,6,9,-13,16,0,0,0,55,5.5,686,29,72,161,2
182,Chase De Leo\deleoch01,23,ANA,C,1,0,0,0,1,0,0,0,0,4,0.0,13,0,1,0,2
183,Jean-Sebastien Dea\deaje01,24,TOT,C,23,4,2,6,0,8,0,0,1,29,13.8,236,12,21,53,2
184,Anthony DeAngelo\deangan01,23,NYR,D,61,4,26,30,6,77,0,0,0,111,3.6,1179,82,54,0,2
185,Alex DeBrincat\debrial01,21,CHI,RW,82,41,35,76,0,15,13,0,3,220,18.6,1451,26,35,16,2
186,Jake DeBrusk\debruja01,22,BOS,LW,68,27,15,42,2,18,8,0,4,156,17.3,1099,24,45,8,2
187,Danny DeKeyser\dekeyda01,28,DET,D,52,5,15,20,2,39,0,0,3,59,8.5,1142,94,79,0,2
188,Michael Del Zotto\delzomi01,28,TOT,D,42,1,9,10,-2,8,0,0,0,45,2.2,715,53,129,0,2
189,Dylan DeMelo\demeldy01,25,OTT,D,77,4,18,22,-1,32,0,0,0,109,3.7,1485,130,121,0,2
190,Jason Demers\demerja01,30,ARI,D,35,2,6,8,9,12,0,0,2,39,5.1,700,43,50,0,2
191,Travis Dermott\dermotr01,22,TOR,D,64,4,13,17,-5,22,0,0,0,98,4.1,1108,57,100,0,2
192,Nicolas Deslauriers\deslani01,27,MTL,LW,48,2,3,5,-12,22,0,1,0,48,4.2,482,22,135,1,2
193,Phillip Di Giuseppe\digiuph01,25,TOT,LW,24,1,3,4,-3,8,0,0,0,31,3.2,243,9,54,3,2
194,Jason Dickinson\dickija01,23,DAL,C,67,6,16,22,9,23,0,0,2,94,6.4,896,50,106,201,2
195,Brenden Dillon\dillobr01,28,SJS,D,82,1,21,22,19,61,0,1,0,71,1.4,1455,78,201,0,2
196,Christian Djoos\djoosch01,24,WSH,D,45,1,9,10,9,4,0,0,0,33,3.0,611,28,18,0,2
197,Max Domi\domima01,23,MTL,LW,82,28,44,72,20,80,4,0,2,203,13.8,1425,39,53,447,2
198,Ryan Donato\donatry01,22,TOT,C,56,10,15,25,-15,6,3,0,1,139,7.2,767,21,24,11,2
199,Matt Donovan\donovma01,28,NSH,D,2,0,1,1,0,2,0,0,0,1,0.0,15,3,0,0,2
200,Joonas Donskoi\donskjo01,26,SJS,RW,80,14,23,37,10,10,1,0,4,115,12.2,1074,36,36,1,2
201,Jake Dotchin\dotchja01,24,ANA,D,20,0,1,1,-4,39,0,0,0,7,0.0,236,16,54,0,2
202,Drew Doughty\doughdr01,29,LAK,D,82,8,37,45,-34,44,7,0,1,154,5.2,2181,120,168,0,2
203,Nic Dowd\dowdni01,28,WSH,C,64,8,14,22,10,20,0,0,3,47,17.0,659,37,97,245,2
204,Justin Dowling\dowliju01,28,DAL,C,11,0,1,1,-4,0,0,0,0,9,0.0,139,7,11,31,2
205,Leon Draisaitl\draisle01,23,EDM,C,82,50,55,105,2,52,16,3,5,231,21.6,1852,26,57,677,2
206,Sheldon Dries\driessh01,24,COL,C,40,3,3,6,-7,26,0,1,0,44,6.8,363,20,66,66,2
207,Jonathan Drouin\drouijo01,23,MTL,LW,81,18,35,53,-8,26,3,0,3,190,9.5,1371,23,55,37,2
208,Dillon Dube\dubedi01,20,CGY,C,25,1,4,5,2,4,0,0,0,22,4.5,252,3,11,16,2
209,Brandon Dubinsky\dubinbr01,32,CBJ,C,61,6,8,14,-16,36,0,0,0,63,9.5,754,28,147,427,2
210,Pierre-Luc Dubois\duboipi01,20,CBJ,LW,82,27,34,61,16,64,2,0,5,174,15.5,1453,52,115,455,2
211,Matt Duchene\duchema01,28,TOT,C,73,31,39,70,-3,8,6,0,1,172,18.0,1375,40,28,676,2
212,Anthony Duclair\duclaan01,23,TOT,LW,74,19,14,33,-2,14,7,0,3,132,14.4,940,33,32,2,2
213,Mathew Dumba\dumbama01,24,MIN,D,32,12,10,22,-5,21,6,0,1,93,12.9,748,43,60,0,2
214,Brian Dumoulin\dumoubr01,27,PIT,D,76,3,20,23,31,20,0,0,0,99,3.0,1598,129,141,0,2
215,Vince Dunn\dunnvi02,22,STL,D,78,12,23,35,14,45,3,0,4,150,8.0,1368,68,48,0,2
216,Christian Dvorak\dvorach01,22,ARI,C,20,2,5,7,-2,2,1,0,1,25,8.0,288,7,16,125,2
217,Ryan Dzingel\dzingry01,26,TOT,C,78,26,30,56,-9,29,5,0,5,159,16.4,1312,38,54,39,2
218,Cody Eakin\eakinco01,27,VEG,C,78,22,19,41,19,16,1,3,3,120,18.3,1200,35,88,479,2
219,Patrick Eaves\eavespa01,34,ANA,RW,7,0,0,0,-4,4,0,0,0,6,0.0,97,1,14,0,2
220,Jordan Eberle\eberljo01,28,NYI,RW,78,19,18,37,-6,17,7,0,5,160,11.9,1289,35,36,9,2
221,Alexander Edler\edleral01,32,VAN,D,56,10,24,34,3,54,4,0,2,128,7.8,1376,166,127,0,2
222,Joel Edmundson\edmunjo01,25,STL,D,64,2,9,11,8,68,0,0,1,102,2.0,1241,106,128,0,2
223,Nikolaj Ehlers\ehlerni01,22,WPG,LW,62,21,16,37,2,15,2,0,4,158,13.3,977,16,27,1,2
224,Christoffer Ehn\ehnch01,22,DET,C,60,3,6,9,-5,6,0,1,1,49,6.1,637,39,70,84,2
225,Jack Eichel\eicheja01,22,BUF,C,77,28,54,82,-11,26,8,0,2,303,9.2,1574,51,70,597,2
226,Aaron Ekblad\ekblaaa01,22,FLA,D,82,13,24,37,1,47,5,0,1,180,7.2,1939,88,114,0,2
227,Mattias Ekholm\ekholma01,28,NSH,D,80,8,36,44,27,47,2,0,3,146,5.5,1869,107,68,0,2
228,Oliver Ekman-Larsson\ekmanol01,27,ARI,D,81,14,30,44,-16,52,5,1,2,176,8.0,1915,52,162,0,2
229,Remi Elie\eliere01,23,BUF,LW,16,0,1,1,-3,2,0,0,0,9,0.0,166,3,30,1,2
230,Lars Eller\ellerla01,29,WSH,C,81,13,23,36,-1,37,0,1,1,163,8.0,1339,47,69,543,2
