,Player,Age,Team,Position,Games Played,Goals,Assists,PTS,+/-,PIM,PPG,SHG,GWG,Shots,S%,TOI,BLK,HIT,FOW,Season
0,Justin Abdelkader\abdelju01,31,DET,LW,71,6,13,19,-14,38,1,1,0,95,6.3,1093,34,185,52,2
1,Pontus Aberg\abergpo01,25,TOT,LW,59,12,13,25,-14,20,3,0,1,101,11.9,861,11,45,2,2
2,Vitaly Abramov\abramvi01,20,OTT,RW,1,0,0,0,-3,0,0,0,0,0,,14,1,0,0,2
3,Noel Acciari\acciano01,27,BOS,C,72,6,8,14,-3,47,0,0,2,99,6.1,935,36,221,200,2
4,Kenny Agostino\agostke01,26,TOT,LW,63,6,18,24,-3,34,0,0,0,79,7.6,814,14,143,15,2
5,Andrew Agozzino\agozzan01,28,COL,LW,11,1,1,2,2,0,0,0,0,11,9.1,86,3,14,16,2
6,Sebastian Aho\ahose01,21,CAR,C,82,30,53,83,25,26,3,4,7,243,12.3,1652,34,65,585,2
7,Mark Alt\altma01,27,COL,D,2,0,0,0,0,0,0,0,0,2,0.0,20,2,0,0,2
8,Karl Alzner\alzneka01,30,MTL,D,9,0,1,1,1,2,0,0,0,8,0.0,156,10,13,0,2
9,Michael Amadio\amadimi01,22,LAK,C,43,6,7,13,-1,6,0,0,0,37,16.2,439,13,16,96,2
10,Joey Anderson\anderjo08,20,NJD,RW,34,4,3,7,-7,6,0,1,1,49,8.2,439,11,42,9,2
11,Josh Anderson\anderjo05,24,CBJ,RW,82,27,20,47,25,60,3,2,5,230,11.7,1396,40,214,12,2
12,Jaret Anderson-Dolan\anderja01,19,LAK,C,5,0,1,1,-2,0,0,0,0,6,0.0,58,2,5,4,2
13,Lias Andersson\anderli01,20,NYR,C,42,2,4,6,-13,29,0,1,0,41,4.9,450,8,60,84,2
14,Rasmus Andersson\anderra01,22,CGY,D,79,2,17,19,17,23,0,0,0,115,1.7,1267,83,52,0,2
15,Sven Andrighetto\andrisv01,25,COL,RW,64,7,10,17,10,14,0,0,1,95,7.4,708,32,29,3,2
16,Artem Anisimov\anisiar01,30,CHI,C,78,15,22,37,-2,14,1,1,1,142,10.6,1275,33,25,332,2
17,Mason Appleton\applema01,23,WPG,C,36,3,7,10,9,4,0,0,1,29,10.3,295,12,28,0,2
18,Darren Archibald\archida02,28,TOT,RW,12,1,1,2,-3,12,0,0,0,10,10.0,89,4,10,0,2
19,Josh Archibald\archijo01,26,ARI,RW,68,12,10,22,1,15,0,0,1,92,13.0,923,39,161,12,2
20,Joel Armia\armiajo01,25,MTL,RW,57,13,10,23,0,14,2,1,2,134,9.7,900,21,113,5,2
