,Player,Unique ID
170,Aaron Ekblad\ekblaaa01,171
171,Mattias Ekholm\ekholma01,172
172,Oliver Ekman-Larsson\ekmanol01,173
173,Remi Elie\eliere01,174
174,Lars Eller\ellerla01,175
175,Ryan Ellis\ellisry01,176
176,Alexei Emelin\emelial01,177
177,Deryk Engelland\engelde01,178
178,Tyler Ennis\ennisty01,179
179,Toby Enström\enstrto01,180
180,Jonathan Ericsson\ericsjo01,181
181,Loui Eriksson\erikslo01,182
182,Joel Eriksson Ek\eriksjo02,183
183,Adam Erne\ernead01,184
184,Robby Fabbri\fabbrro01,185
185,Radek Faksa\faksara01,186
186,Justin Falk\falkju01,187
187,Hudson Fasching\faschhu01,188
188,Jesper Fast\fastje01,189
189,Justin Faulk\faulkju01,190
190,Taylor Fedun\fedunta01,191
191,Eric Fehr\fehrer01,192
192,Micheal Ferland\ferlami01,193
193,Kevin Fiala\fialake01,194
194,Vernon Fiddler\fiddlve01,195
195,Valtteri Filppula\filppva01,196
196,Mike Fisher\fishemi01,197
197,Brian Flynn\flynnbr01,198
198,Marcus Foligno\foligma01,199
199,Nick Foligno\foligni01,200
200,Christian Folin\folinch01,201
201,Derek Forbort\forbode01,202
202,Filip Forsberg\forsbfi01,203
203,Gustav Forsling\forslgu02,204
204,Cam Fowler\fowleca01,205
205,Cody Franson\fransco01,206
206,Michael Frolik\frolimi01,207
207,Marián Gáborík\gaborma01,208
208,Kurtis Gabriel\gabriku01,209
209,Sam Gagner\gagnesa01,210
210,Alex Galchenyuk\galchal01,211
211,Brendan Gallagher\gallabr01,212
212,Ryan Garbutt\garbury01,213
213,Jake Gardiner\gardija01,214
214,Jason Garrison\garrija01,215
215,Johnny Gaudreau\gaudrjo01,216
216,Brendan Gaunce\gauncbr01,217
217,Cameron Gaunce\gauncca01,218
218,Frederik Gauthier\gauthfr01,219
219,Luke Gazdic\gazdilu01,220
220,Eric Gelinas\geliner01,221
221,Ryan Getzlaf\getzlry01,222
222,Tom Gilbert\gilbeto01,223
223,Brian Gionta\giontbr01,224
224,Stephen Gionta\giontst01,225
225,Mark Giordano\giordma01,226
226,Dan Girardi\girarda01,227
227,Zemgus Girgensons\girgeze01,228
228,Claude Giroux\giroucl01,229
229,Tanner Glass\glassta01,230
230,Luke Glendening\glendlu01,231
231,Nikolay Goldobin\goldoni01,232
232,Alex Goligoski\goligal01,233
233,Cody Goloubef\golouco01,234
234,Boyd Gordon\gordobo01,235
235,Josh Gorges\gorgejo01,236
236,Shayne Gostisbehere\gostish01,237
237,Yanni Gourde\gourdya01,238
238,Michael Grabner\grabnmi01,239
239,Petter Granberg\granbpe01,240
240,Markus Granlund\granlma01,241
241,Mikael Granlund\granlmi01,242
242,Derek Grant\grantde01,243
243,Tyler Graovac\graovty01,244
244,Kevin Gravel\graveke01,245
