,Player,Age,Team,Position,Games Played,Goals,Assists,PTS,+/-,PIM,Point Share,Even Strength Goals,PPG,SHG,GWG,Shots,S%,TOI,ATOI,BLK,HIT,FOW,FO%,Season
38,Tyson Barrie\barrity01,28,TOR,D,70,5,34,39,-7,16,4.5,4,1,0,0,169,3.0,1531,21:53,76,47,0,,2019-20
39,Mathew Barzal\barzama01,22,NYI,C,68,19,41,60,5,44,6.0,15,4,0,2,171,11.1,1363,20:03,43,22,228,41.6,2019-20
40,Drake Batherson\bathedr01,21,OTT,C,23,3,7,10,-12,13,0.3,2,1,0,0,32,9.4,358,15:34,11,51,4,57.1,2019-20
41,Jay Beagle\beaglja01,34,VAN,RW,55,2,6,8,-9,38,-0.5,1,0,1,1,49,4.1,691,12:34,42,69,401,59.1,2019-20
42,Ethan Bear\bearet01,22,EDM,D,71,5,16,21,-4,33,4.0,4,1,0,1,99,5.1,1560,21:58,106,59,0,,2019-20
43,J.C. Beaudin\beaudje01,22,OTT,C,22,0,1,1,-4,7,-0.4,0,0,0,0,18,0.0,190,8:38,11,51,62,52.5,2019-20
44,Nicolas Beaudin\beaudni01,20,CHI,D,1,0,0,0,1,0,0.1,0,0,0,0,2,0.0,17,17:01,2,2,0,,2019-20
45,Nathan Beaulieu\beaulna01,27,WPG,D,38,1,7,8,15,29,2.6,1,0,0,1,38,2.6,646,17:00,47,62,0,,2019-20
46,Anthony Beauvillier\beauvan01,22,NYI,LW,68,18,21,39,-11,15,3.5,14,3,1,3,132,13.6,1174,17:16,36,86,9,69.2,2019-20
47,Pierre-Edouard Bellemare\bellepi01,34,COL,LW,69,9,13,22,2,17,1.5,7,0,2,0,85,10.6,926,13:25,46,43,419,53.0,2019-20
48,Kieffer Bellows\belloki01,21,NYI,LW,8,2,1,3,3,2,0.5,2,0,0,1,11,18.2,85,10:39,4,12,0,,2019-20
49,Emil Bemstrom\bemstem01,20,CBJ,C,56,10,10,20,-10,8,1.7,5,5,0,4,97,10.3,687,12:16,17,52,4,30.8,2019-20
50,Jamie Benn\bennja01,30,DAL,LW,69,19,20,39,-4,53,4.2,11,8,0,4,163,11.7,1134,16:26,57,167,244,55.8,2019-20
51,Jordie Benn\bennjo01,32,VAN,D,44,1,6,7,-7,17,0.8,1,0,0,1,58,1.7,717,16:17,62,45,0,,2019-20
52,Sam Bennett\bennesa01,23,CGY,C,52,8,4,12,-1,36,1.0,8,0,0,0,82,9.8,651,12:31,13,101,89,51.7,2019-20
53,Matt Benning\bennima01,25,EDM,D,43,1,7,8,8,15,2.1,1,0,0,0,38,2.6,569,13:14,34,78,0,,2019-20
54,Tyler Benson\bensoty01,21,EDM,LW,7,0,1,1,-1,0,0.0,0,0,0,0,5,0.0,73,10:23,1,3,1,100.0,2019-20
55,Patrice Bergeron\bergepa01,34,BOS,C,61,31,25,56,23,28,7.9,19,11,1,5,203,15.3,1143,18:44,46,46,758,57.8,2019-20
56,Lean Bergmann\bergmle01,21,SJS,F,12,0,1,1,-6,4,-0.3,0,0,0,0,11,0.0,99,8:16,5,29,0,0.0,2019-20
57,Tyler Bertuzzi\bertuty01,24,DET,LW,71,21,27,48,-23,40,4.3,18,3,0,1,129,16.3,1371,19:19,30,71,4,66.7,2019-20
58,Alex Biega\biegaal01,31,DET,D,49,0,3,3,-9,24,0.9,0,0,0,0,55,0.0,805,16:25,46,115,0,,2019-20
59,Jake Bischoff\bischja01,25,VEG,D,4,0,0,0,-2,4,-0.1,0,0,0,0,6,0.0,62,15:36,8,8,0,,2019-20
60,Clark Bishop\bishocl01,23,CAR,C,5,0,1,1,-2,4,0.0,0,0,0,0,4,0.0,38,7:39,0,5,13,38.2,2019-20
61,Anthony Bitetto\bitetan01,29,WPG,D,51,0,8,8,3,32,1.7,0,0,0,0,54,0.0,773,15:10,50,145,0,,2019-20
62,Anders Bjork\bjorkan01,23,BOS,LW,58,9,10,19,5,10,1.8,8,1,0,0,66,13.6,750,12:56,21,43,2,33.3,2019-20
63,Oliver Bjorkstrand\bjorkol01,24,CBJ,RW,49,21,15,36,8,12,4.9,18,3,0,5,162,13.0,879,17:56,16,43,6,31.6,2019-20
64,Tobias Bjornfot\bjornto01,18,LAK,D,3,0,0,0,-4,0,-0.3,0,0,0,0,0,,39,12:58,0,0,0,,2019-20
65,Nick Bjugstad\bjugsni01,27,PIT,C,13,1,1,2,3,8,0.2,1,0,0,0,18,5.6,159,12:14,7,19,38,39.6,2019-20
66,Colin Blackwell\blackco01,26,NSH,C,27,3,7,10,7,10,1.1,3,0,0,0,31,9.7,296,10:57,23,43,37,56.1,2019-20
67,Sammy Blais\blaissa01,23,STL,LW,40,6,7,13,-2,20,1.0,6,0,0,1,56,10.7,503,12:35,15,155,0,,2019-20
68,Joseph Blandisi\blandjo01,25,PIT,C,21,2,3,5,-3,10,0.3,2,0,0,1,12,16.7,172,8:13,9,26,33,40.7,2019-20
69,Joachim Blichfeld\blichjo01,21,SJS,W,3,0,0,0,-2,2,-0.1,0,0,0,0,3,0.0,38,12:46,4,3,0,,2019-20
70,Anton Blidh\blidhan01,24,BOS,LW,7,0,0,0,-1,0,-0.2,0,0,0,0,9,0.0,81,11:31,5,20,0,0.0,2019-20
71,Teddy Blueger\bluegte01,25,PIT,C,69,9,13,22,2,25,1.4,9,0,0,2,102,8.8,1091,15:49,35,83,402,45.1,2019-20
72,Mikkel Boedker\boedkmi01,30,OTT,RW,20,2,2,4,-1,0,0.2,1,0,1,0,29,6.9,194,9:43,5,12,1,25.0,2019-20
73,Brock Boeser\boesebr01,22,VAN,RW,57,16,29,45,4,14,4.4,11,5,0,3,169,9.5,1059,18:34,14,28,11,36.7,2019-20
74,Zach Bogosian\bogosza01,29,TOT,D,27,1,6,7,0,22,1.2,1,0,0,0,29,3.4,449,16:38,27,30,0,,2019-20
75,Nick Bonino\boninni01,31,NSH,C,67,18,17,35,17,16,4.1,17,1,0,3,104,17.3,1107,16:31,89,17,488,52.6,2019-20
76,Adam Boqvist\boqviad01,19,CHI,D,41,4,9,13,-3,6,2.0,4,0,0,1,50,8.0,665,16:13,43,33,0,,2019-20
77,Jesper Boqvist\boqvije01,21,NJD,C,35,4,0,4,-11,8,-0.2,3,1,0,0,41,9.8,383,10:57,16,37,5,31.3,2019-20
78,Henrik Borgström\borgshe01,22,FLA,C,4,0,0,0,-2,2,-0.2,0,0,0,0,3,0.0,50,12:23,0,1,13,48.1,2019-20
79,Mark Borowiecki\borowma01,30,OTT,D,53,7,11,18,1,58,3.4,6,0,1,0,63,11.1,951,17:56,120,199,0,,2019-20
80,Robert Bortuzzo\borturo01,30,STL,D,42,2,4,6,12,21,2.2,2,0,0,1,36,5.6,551,13:07,43,66,0,,2019-20
81,Gabriel Bourque\bourqga01,29,WPG,LW,52,2,4,6,-1,7,0.0,2,0,0,0,33,6.1,447,8:36,40,125,2,40.0,2019-20
82,Jay Bouwmeester\bouwmja01,36,STL,D,56,1,8,9,6,20,2.4,1,0,0,0,53,1.9,1208,21:34,68,42,0,,2019-20
83,Madison Bowey\boweyma01,24,DET,D,53,3,14,17,-16,34,2.3,3,0,0,0,70,4.3,949,17:54,58,53,0,,2019-20
84,Johnny Boychuk\boychjo01,36,NYI,D,64,2,9,11,-11,14,1.7,1,1,0,0,96,2.1,1106,17:17,128,135,0,,2019-20
85,Travis Boyd\boydtr01,26,WSH,C,24,3,7,10,9,2,1.1,3,0,0,0,26,11.5,282,11:45,9,14,50,42.0,2019-20
86,Brian Boyle\boylebr01,35,FLA,C,39,6,9,15,-5,17,1.0,5,1,0,1,56,10.7,483,12:23,34,65,197,52.4,2019-20
87,Tyler Bozak\bozakty01,33,STL,C,67,13,16,29,0,10,2.6,10,2,1,2,109,11.9,1026,15:19,33,32,363,55.0,2019-20
88,Erik Brannstrom\branner01,20,OTT,D,31,0,4,4,-9,16,0.1,0,0,0,0,38,0.0,460,14:51,36,15,0,,2019-20
89,Derick Brassard\brassde01,32,NYI,C,66,10,22,32,-2,16,2.7,7,3,0,1,110,9.1,904,13:42,24,115,197,55.2,2019-20
90,Jesper Bratt\brattje01,21,NJD,W,60,16,16,32,-6,6,3.4,15,1,0,2,101,15.8,839,13:59,22,29,3,23.1,2019-20
91,Justin Braun\braunju01,32,PHI,D,62,3,16,19,-2,18,2.9,3,0,0,0,70,4.3,1071,17:16,84,91,0,,2019-20
92,T.J. Brodie\broditj01,29,CGY,D,64,4,15,19,7,36,4.3,4,0,0,1,65,6.2,1309,20:27,87,20,0,,2019-20
93,Jonas Brodin\brodijo01,26,MIN,D,69,2,26,28,15,24,5.2,2,0,0,0,103,1.9,1487,21:33,112,41,0,,2019-20
94,Jonny Brodzinski\brodzjo01,26,SJS,C,3,0,1,1,0,0,0.1,0,0,0,0,5,0.0,22,7:24,0,3,0,0.0,2019-20
95,Adam Brooks\brookad01,23,TOR,C,7,0,3,3,1,0,0.2,0,0,0,0,2,0.0,55,7:51,1,0,5,50.0,2019-20
96,Troy Brouwer\brouwtr01,34,STL,RW,13,1,0,1,1,7,0.0,1,0,0,0,12,8.3,123,9:28,6,24,1,50.0,2019-20
97,Connor Brown\brownco02,26,OTT,RW,71,16,27,43,-6,24,3.4,13,3,0,1,173,9.2,1428,20:07,35,39,29,42.6,2019-20
98,Dustin Brown\browndu01,35,LAK,RW,66,17,18,35,-1,22,3.5,16,1,0,1,169,10.1,1215,18:24,15,143,7,43.8,2019-20
99,Josh Brown\brownjo01,26,FLA,D,56,3,5,8,1,39,1.5,3,0,0,1,48,6.3,751,13:25,53,77,0,,2019-20
100,Logan Brown\brownlo01,21,OTT,C,23,1,7,8,0,4,0.5,0,1,0,1,23,4.3,270,11:45,11,13,55,41.0,2019-20
101,Patrick Brown\brownpa02,27,VEG,C,1,1,0,1,0,0,0.2,1,0,0,0,2,50.0,10,10:04,0,6,0,,2019-20
102,Pavel Buchnevich\buchnpa01,24,NYR,LW,68,16,30,46,2,24,4.1,12,4,0,1,148,10.8,1151,16:56,22,80,4,17.4,2019-20
103,Connor Bunnaman\bunnaco01,21,PHI,F,21,1,1,2,7,2,0.2,1,0,0,0,18,5.6,195,9:17,2,29,36,37.5,2019-20
104,Andre Burakovsky\burakan01,24,COL,LW,58,20,25,45,11,22,5.4,18,2,0,6,103,19.4,882,15:12,34,26,5,35.7,2019-20
105,Brent Burns\burnsbr01,34,SJS,D,70,12,33,45,-22,34,6.7,7,5,0,1,225,5.3,1779,25:25,115,72,0,,2019-20
106,Will Butcher\butchwi01,25,NJD,D,56,4,17,21,-8,6,3.1,4,0,0,1,62,6.5,1003,17:55,75,31,0,,2019-20
107,Paul Byron\byronpa01,30,MTL,C,29,4,6,10,5,4,0.9,3,0,1,0,29,13.8,415,14:20,18,42,1,16.7,2019-20
108,Nicholas Caamano\caamani01,21,DAL,RW,12,1,1,2,2,4,0.2,1,0,0,0,13,7.7,120,9:58,3,17,1,50.0,2019-20
109,Drake Caggiula\caggidr01,25,CHI,LW,40,9,6,15,-3,32,1.5,8,1,0,0,56,16.1,473,11:49,16,81,4,28.6,2019-20
110,Matt Calvert\calvema01,30,COL,LW,50,12,13,25,13,39,3.0,9,0,3,1,89,13.5,705,14:05,22,58,12,46.2,2019-20
111,Kyle Capobianco\capobky01,22,ARI,D,9,1,0,1,-1,2,0.3,1,0,0,0,10,10.0,133,14:46,10,14,0,,2019-20
112,Paul Carey\careypa01,31,BOS,C,1,0,0,0,-1,0,0.0,0,0,0,0,0,,6,6:22,1,0,0,,2019-20
113,Brandon Carlo\carlobr01,23,BOS,D,67,4,15,19,16,33,4.7,4,0,0,0,111,3.6,1372,20:29,76,126,0,,2019-20
114,John Carlson\carlsjo01,30,WSH,D,69,15,60,75,12,26,10.7,13,2,0,6,189,7.9,1700,24:38,108,55,0,0.0,2019-20
115,Gabriel Carlsson\carlsga01,23,CBJ,D,6,0,0,0,-1,2,0.0,0,0,0,0,3,0.0,65,10:53,0,5,0,,2019-20
116,Lucas Carlsson\carlslu01,22,CHI,D,6,0,1,1,3,0,0.4,0,0,0,0,3,0.0,85,14:08,6,11,0,,2019-20
117,Ryan Carpenter\carpery01,29,CHI,C,69,3,12,15,-6,28,-0.1,2,0,1,0,80,3.8,971,14:04,48,117,263,43.1,2019-20
118,Daniel Carr\carrda01,28,NSH,LW,11,1,0,1,-5,4,-0.2,1,0,0,0,14,7.1,114,10:20,2,10,0,0.0,2019-20
119,Connor Carrick\carrico01,25,NJD,D,29,1,5,6,-6,17,0.8,1,0,0,1,25,4.0,418,14:25,39,27,0,,2019-20
120,Sam Carrick\carrisa01,27,ANA,C,9,1,1,2,-3,0,0.0,0,0,1,0,16,6.3,124,13:46,8,13,33,45.8,2019-20
121,Trevor Carrick\carritr01,25,SJS,D,3,0,0,0,0,5,0.0,0,0,0,0,1,0.0,17,5:47,0,1,0,,2019-20
122,Alexandre Carrier\carrial01,23,NSH,D,3,0,0,0,2,2,0.2,0,0,0,0,4,0.0,32,10:47,0,3,0,,2019-20
123,William Carrier\carriwi01,25,VEG,LW,71,7,12,19,0,39,1.4,7,0,0,1,99,7.1,701,9:52,11,213,9,64.3,2019-20
124,Jeff Carter\carteje01,35,LAK,C,60,17,10,27,-21,36,2.2,14,3,0,7,182,9.3,1016,16:56,23,66,382,51.2,2019-20
125,Colby Cave\caveco01,25,EDM,C,11,1,0,1,-3,4,-0.1,1,0,0,0,5,20.0,106,9:39,3,17,36,46.8,2019-20
126,Cody Ceci\cecico01,26,TOR,D,56,1,7,8,7,20,1.9,1,0,0,1,48,2.1,1150,20:32,79,92,0,,2019-20
127,Peter Cehlarik\cehlape01,24,BOS,LW,3,0,1,1,-1,2,0.0,0,0,0,0,0,,34,11:16,2,2,1,50.0,2019-20
128,Erik Cernak\cernaer01,22,TBL,D,67,5,7,12,11,59,3.2,5,0,0,1,125,4.0,1270,18:57,97,172,0,,2019-20
129,Thomas Chabot\chaboth01,23,OTT,D,71,6,33,39,-18,42,4.6,6,0,0,0,186,3.2,1846,26:00,85,79,0,,2019-20
130,Michael Chaput\chapumi01,27,ARI,C,2,0,0,0,-2,2,-0.1,0,0,0,0,2,0.0,20,10:01,2,3,7,53.8,2019-20
131,Zdeno Chara\charazd01,42,BOS,D,68,5,9,14,26,60,5.1,5,0,0,2,86,5.8,1429,21:01,101,78,0,,2019-20
132,Ben Chiarot\chiarbe01,28,MTL,D,69,9,12,21,5,61,4.9,9,0,0,3,130,6.9,1596,23:08,128,152,0,,2019-20
133,Alex Chiasson\chiasal01,29,EDM,RW,65,11,13,24,-3,42,2.2,5,6,0,3,97,11.3,853,13:07,15,56,0,0.0,2019-20
134,Andrei Chibisov\chibian01,26,WPG,F,2,0,0,0,0,0,0.0,0,0,0,0,1,0.0,15,7:27,1,1,0,,2019-20
135,Filip Chlapik\chlapfi01,22,OTT,C,31,3,3,6,-7,10,0.2,3,0,0,1,27,11.1,272,8:46,11,71,12,38.7,2019-20
136,Dennis Cholowski\cholode01,21,DET,D,36,2,6,8,-26,6,0.1,1,1,0,1,51,3.9,692,19:13,35,15,0,,2019-20
137,Jakob Chychrun\chychja01,21,ARI,D,63,12,14,26,4,38,6.0,7,5,0,2,149,8.1,1413,22:26,95,75,0,,2019-20
138,Filip Chytil\chytifi01,20,NYR,C,60,14,9,23,-7,10,1.8,13,1,0,2,114,12.3,890,14:50,31,13,198,38.4,2019-20
139,Anthony Cirelli\cirelan01,22,TBL,C,68,16,28,44,28,30,4.7,14,1,1,3,113,14.2,1255,18:28,47,89,434,47.5,2019-20
140,Casey Cizikas\cizikca01,28,NYI,C,48,10,4,14,12,41,1.8,7,0,3,1,67,14.9,686,14:18,39,133,368,53.5,2019-20
141,Fredrik Claesson\claesfr01,27,NJD,D,5,1,1,2,1,0,0.5,1,0,0,0,1,100.0,72,14:29,7,5,0,,2019-20
142,Kale Clague\claguka01,21,LAK,D,4,0,0,0,-3,2,-0.1,0,0,0,0,2,0.0,58,14:34,4,1,0,,2019-20
143,Kyle Clifford\cliffky01,29,TOT,LW,69,7,10,17,-7,68,1.0,7,0,0,0,110,6.4,772,11:11,15,133,6,60.0,2019-20
144,Connor Clifton\cliftco01,24,BOS,D,31,2,0,2,4,12,1.1,2,0,0,0,20,10.0,447,14:25,33,90,0,,2019-20
145,Cal Clutterbuck\cluttca01,32,NYI,RW,37,3,4,7,6,22,0.5,2,0,1,0,35,8.6,497,13:25,38,127,4,44.4,2019-20
146,Braydon Coburn\coburbr01,34,TBL,D,40,1,3,4,5,16,1.2,1,0,0,0,44,2.3,562,14:03,28,59,0,,2019-20
147,Andrew Cogliano\coglian01,32,DAL,LW,68,3,11,14,2,30,0.6,3,0,0,0,68,4.4,848,12:28,31,86,17,45.9,2019-20
148,Ian Cole\coleia01,30,COL,D,65,4,22,26,21,36,5.1,4,0,0,1,92,4.3,1150,17:42,122,83,0,,2019-20
149,Blake Coleman\colembl01,28,TOT,C,66,21,11,32,0,56,3.7,17,1,3,2,200,10.5,1103,16:43,46,191,47,31.5,2019-20
150,Blake Comeau\comeabl01,33,DAL,RW,55,8,8,16,-6,36,1.1,7,0,1,2,74,10.8,822,14:56,24,107,42,43.8,2019-20
151,J.T. Compher\comphj.01,24,COL,LW,67,11,20,31,9,18,2.6,10,1,0,3,106,10.4,1122,16:45,60,36,341,47.7,2019-20
152,Max Comtois\comtoma01,21,ANA,LW,29,5,6,11,-4,24,0.9,3,2,0,0,32,15.6,405,13:58,8,61,3,18.8,2019-20
153,Cory Conacher\conacco01,30,TBL,LW,4,0,1,1,-2,4,-0.1,0,0,0,0,5,0.0,44,11:05,1,3,0,,2019-20
154,Kevin Connauton\connake01,29,COL,D,4,0,0,0,-2,0,-0.1,0,0,0,0,4,0.0,62,15:30,6,6,0,,2019-20
155,Brett Connolly\connobr01,27,FLA,RW,69,19,14,33,-3,26,3.3,15,4,0,3,117,16.2,1000,14:30,17,56,6,35.3,2019-20
156,Kyle Connor\connoky01,23,WPG,LW,71,38,35,73,4,34,8.7,28,9,1,7,239,15.9,1497,21:05,17,18,2,15.4,2019-20
157,Andrew Copp\coppan01,25,WPG,C,63,10,16,26,-3,10,1.6,9,1,0,5,121,8.3,1115,17:42,27,59,310,53.0,2019-20
158,Nick Cousins\cousini01,26,TOT,C,65,10,15,25,0,35,2.2,7,3,0,0,115,8.7,878,13:31,31,91,35,47.9,2019-20
159,Logan Couture\coutulo01,30,SJS,C,52,16,23,39,0,18,4.2,16,0,0,3,126,12.7,963,18:32,45,54,195,44.0,2019-20
160,Sean Couturier\coutuse01,27,PHI,C,69,22,37,59,21,30,6.6,18,4,0,4,185,11.9,1368,19:50,26,60,543,59.7,2019-20
161,Charlie Coyle\coylech01,27,BOS,C,70,16,21,37,9,21,3.8,13,1,2,3,145,11.0,1175,16:47,34,83,326,46.6,2019-20
162,Sidney Crosby\crosbsi01,32,PIT,C,41,16,31,47,-8,15,4.7,12,4,0,4,109,14.7,831,20:16,17,28,494,55.6,2019-20
163,Lawson Crouse\crousla01,22,ARI,LW,66,15,10,25,0,33,2.8,14,0,1,3,109,13.8,896,13:35,29,201,24,51.1,2019-20
164,Austin Czarnik\czarnau01,27,CGY,C,8,2,1,3,1,0,0.4,1,1,0,0,9,22.2,82,10:11,2,1,2,33.3,2019-20
165,Kirby Dach\dachki01,19,CHI,C,64,8,15,23,-1,24,1.5,8,0,0,2,101,7.9,913,14:16,23,33,75,33.8,2019-20
166,Evgenii Dadonov\dadonev01,30,FLA,RW,69,25,22,47,-7,10,4.8,14,11,0,2,167,15.0,1180,17:06,24,29,0,,2019-20
167,Rasmus Dahlin\dahlira01,19,BUF,D,59,4,36,40,-7,38,5.1,2,2,0,1,90,4.4,1138,19:18,51,72,0,,2019-20
168,Carl Dahlstrom\dahlsca01,25,WPG,D,15,0,1,1,-4,6,0.0,0,0,0,0,9,0.0,221,14:46,13,5,0,,2019-20
169,Michael Dal Colle\dalcomi01,23,NYI,LW,53,4,6,10,-8,12,0.1,4,0,0,0,59,6.8,625,11:48,21,81,5,71.4,2019-20
170,Trevor Daley\daleytr01,36,DET,D,43,0,7,7,-22,20,0.1,0,0,0,0,37,0.0,673,15:39,44,9,0,,2019-20
171,Phillip Danault\danauph01,26,MTL,LW,71,13,34,47,18,32,4.7,12,1,0,1,131,9.9,1338,18:51,37,119,728,54.5,2019-20
172,Marko Daňo\danoma01,25,CBJ,C,3,0,0,0,-1,2,-0.1,0,0,0,0,2,0.0,22,7:10,3,5,0,,2019-20
173,Brandon Davidson\davidbr01,28,TOT,D,12,0,0,0,-3,0,0.0,0,0,0,0,17,0.0,150,12:29,20,24,0,,2019-20
174,Jonathan Davidsson\davidjo03,22,OTT,RW,6,0,1,1,0,0,0.0,0,0,0,0,3,0.0,33,5:31,1,5,0,,2019-20
175,Calvin de Haan\dehaaca01,28,CHI,D,29,1,5,6,10,10,1.9,1,0,0,0,42,2.4,577,19:55,73,93,0,,2019-20
176,Jacob de La Rose\delarja01,24,TOT,LW,50,2,7,9,2,10,0.4,2,0,0,0,46,4.3,536,10:43,16,120,118,43.1,2019-20
177,Chase De Leo\deleoch01,24,ANA,C,1,0,0,0,0,0,0.0,0,0,0,0,1,0.0,15,14:59,0,1,0,0.0,2019-20
178,Jean-Sebastien Dea\deaje01,25,BUF,C,3,0,0,0,0,0,0.0,0,0,0,0,0,,23,7:38,0,3,1,50.0,2019-20
179,Anthony DeAngelo\deangan01,24,NYR,D,68,15,38,53,12,47,8.4,12,3,0,3,149,10.1,1312,19:17,57,48,0,,2019-20
180,Alex DeBrincat\debrial01,22,CHI,RW,70,18,27,45,-10,15,3.9,8,10,0,4,207,8.7,1225,17:30,19,58,7,35.0,2019-20
181,Jake DeBrusk\debruja01,23,BOS,LW,65,19,16,35,-1,14,3.8,12,7,0,5,161,11.8,1043,16:03,15,35,9,34.6,2019-20
