,Player,Age,Team,Position,Games Played,Goals,Assists,PTS,+/-,PIM,Point Share,Even Strength Goals,PPG,SHG,GWG,Shots,S%,TOI,ATOI,BLK,HIT,FOW,FO%,Season
0,Justin Abdelkader\abdelju01,32,DET,LW,49,0,3,3,-14,25,-0.9,0,0,0,0,40,0.0,565,11:32,26,103,38,55.1,2019-20
1,Pontus Aberg\abergpo01,26,TOR,LW,5,0,1,1,0,0,0.0,0,0,0,0,4,0.0,44,8:42,1,1,0,,2019-20
2,Vitaly Abramov\abramvi01,21,OTT,RW,2,1,0,1,0,2,0.2,1,0,0,0,3,33.3,12,5:47,0,0,0,,2019-20
3,Noel Acciari\acciano01,28,FLA,C,66,20,7,27,2,21,2.9,19,0,1,5,108,18.5,1054,15:58,103,121,381,47.9,2019-20
4,Andrew Agozzino\agozzan01,29,TOT,LW,22,1,2,3,3,4,0.3,1,0,0,0,10,10.0,162,7:21,7,25,38,50.7,2019-20
5,Sebastian Aho\ahose01,22,CAR,F,68,38,28,66,10,26,8.6,26,8,4,5,206,18.4,1321,19:25,20,55,409,46.0,2019-20
6,Karl Alzner\alzneka01,31,MTL,D,4,0,0,0,-1,0,0.0,0,0,0,0,4,0.0,56,13:55,4,1,0,,2019-20
7,Michael Amadio\amadimi01,23,LAK,C,68,6,10,16,-11,10,0.5,6,0,0,0,99,6.1,885,13:01,22,21,233,48.3,2019-20
8,Joey Anderson\anderjo08,21,NJD,RW,18,4,2,6,1,2,0.7,4,0,0,0,21,19.0,238,13:13,6,16,3,50.0,2019-20
9,Josh Anderson\anderjo05,25,CBJ,RW,26,1,3,4,-8,17,-0.4,1,0,0,0,63,1.6,418,16:04,13,68,7,36.8,2019-20
10,Michael Anderson\andermi02,20,LAK,D,6,1,0,1,4,0,0.7,1,0,0,1,9,11.1,109,18:09,10,10,0,,2019-20
11,Jaret Anderson-Dolan\anderja01,20,LAK,C,4,0,0,0,-1,0,-0.1,0,0,0,0,2,0.0,41,10:16,0,3,5,38.5,2019-20
12,Lias Andersson\anderli01,21,NYR,C,17,0,1,1,-8,4,-0.5,0,0,0,0,13,0.0,162,9:33,8,20,41,46.6,2019-20
13,Rasmus Andersson\anderra01,23,CGY,D,70,5,17,22,-7,57,3.8,5,0,0,0,124,4.0,1396,19:56,83,51,0,,2019-20
14,Andy Andreoff\andrean01,28,PHI,LW,14,0,1,1,-3,2,-0.2,0,0,0,0,14,0.0,119,8:32,4,20,4,50.0,2019-20
15,Anthony Angello\angelan01,23,PIT,C,8,1,0,1,-1,4,0.1,1,0,0,0,5,20.0,46,5:43,5,13,0,0.0,2019-20
16,Artem Anisimov\anisiar01,31,OTT,C,49,15,5,20,-15,8,1.9,10,5,0,1,87,17.2,679,13:51,25,6,185,50.0,2019-20
17,Mason Appleton\applema01,24,WPG,C,46,5,3,8,-9,20,0.1,4,0,1,0,55,9.1,513,11:10,12,20,5,38.5,2019-20
18,Josh Archibald\archijo01,27,EDM,RW,62,12,9,21,-8,12,1.8,10,0,2,3,64,18.8,820,13:14,44,165,0,0.0,2019-20
19,Joel Armia\armiajo01,26,MTL,RW,58,16,14,30,2,28,3.2,10,3,3,2,155,10.3,999,17:14,25,146,4,36.4,2019-20
20,Viktor Arvidsson\arvidvi01,26,NSH,LW,57,15,13,28,-4,26,2.6,11,4,0,1,127,11.8,924,16:12,24,27,11,57.9,2019-20
21,Rasmus Asplund\asplura01,22,BUF,F,29,1,2,3,-4,6,-0.3,1,0,0,0,36,2.8,314,10:50,7,20,49,43.0,2019-20
22,Zach Aston-Reese\astonza01,25,PIT,C,57,6,7,13,6,28,0.8,5,0,1,0,98,6.1,822,14:26,30,136,7,30.4,2019-20
23,Andreas Athanasiou\athanan01,25,TOT,C,55,11,15,26,-46,30,0.8,8,3,0,2,129,8.5,871,15:51,24,36,43,41.7,2019-20
24,Cam Atkinson\atkinca01,30,CBJ,RW,44,12,14,26,2,6,2.9,9,3,0,2,148,8.1,785,17:51,21,18,27,47.4,2019-20
25,Nicolas Aube-Kubel\aubekni01,23,PHI,RW,36,7,8,15,1,19,1.6,5,2,0,1,48,14.6,406,11:17,16,82,1,33.3,2019-20
26,David Backes\backeda01,35,TOT,C,22,1,5,6,-1,22,0.4,0,1,0,1,34,2.9,207,9:24,8,38,27,38.0,2019-20
27,Mikael Backlund\backlmi01,30,CGY,C,70,16,29,45,3,26,4.4,10,3,3,3,157,10.2,1256,17:57,11,44,368,47.3,2019-20
28,Nicklas Backstrom\backsni02,32,WSH,C,61,12,42,54,-1,14,4.6,10,2,0,0,132,9.1,1160,19:01,45,30,516,49.2,2019-20
29,Sven Baertschi\baertsv01,27,VAN,LW,6,0,2,2,-2,4,0.0,0,0,0,0,7,0.0,71,11:49,0,5,0,,2019-20
30,Josh Bailey\bailejo01,30,NYI,C,68,14,29,43,-12,10,3.5,11,2,1,2,94,14.9,1149,16:54,48,20,128,49.8,2019-20
31,Justin Bailey\baileju01,24,VAN,RW,2,0,0,0,0,0,0.0,0,0,0,0,1,0.0,11,5:20,0,4,0,,2019-20
32,Rudolfs Balcers\balceru01,22,OTT,LW,15,1,2,3,-2,0,0.0,1,0,0,1,23,4.3,182,12:08,7,19,0,0.0,2019-20
33,Ivan Barbashev\barbaiv01,24,STL,C,69,11,15,26,3,23,2.4,9,0,2,2,75,14.7,928,13:27,33,144,149,45.4,2019-20
34,Riley Barber\barberi01,25,MTL,RW,9,0,0,0,-1,2,-0.2,0,0,0,0,6,0.0,74,8:15,1,15,1,100.0,2019-20
35,Mark Barberio\barbema01,29,COL,D,21,0,2,2,3,16,0.6,0,0,0,0,29,0.0,296,14:06,19,13,0,,2019-20
36,Cole Bardreau\bardrco01,26,NYI,F,10,1,1,2,-2,6,0.1,1,0,0,1,10,10.0,89,8:52,1,21,21,42.0,2019-20
37,Aleksander Barkov\barkoal01,24,FLA,C,66,20,42,62,2,18,5.9,13,7,0,2,172,11.6,1321,20:01,35,21,653,54.3,2019-20
