,Player,Age,Team,Position,Games Played,Goals,Assists,PTS,+/-,PIM,PPG,SHG,GWG,Shots,S%,TOI,BLK,HIT,FOW,Season
71,Rene Bourque\bourqre01,35,COL,RW,65,12,6,18,-19,56,2,0,2,111,10.8,906,26,75,0,0
72,Jay Bouwmeester\bouwmja01,33,STL,D,81,1,14,15,6,28,0,0,0,106,0.9,1815,111,67,0,0
73,Johnny Boychuk\boychjo01,33,NYI,D,66,6,17,23,11,19,1,1,2,155,3.9,1368,133,160,1,0
74,Brian Boyle\boylebr01,32,TOT,C,75,13,12,25,3,66,3,0,2,131,9.9,977,41,115,303,0
75,Tyler Bozak\bozakty01,30,TOR,C,78,18,37,55,-1,30,7,0,1,145,12.4,1282,26,45,774,0
76,Derick Brassard\brassde01,29,OTT,C,81,14,25,39,12,24,3,0,3,195,7.2,1408,24,92,612,0
77,Justin Braun\braunju01,29,SJS,D,81,4,9,13,1,28,0,0,0,95,4.2,1626,161,136,0,0
78,T.J. Brodie\broditj01,26,CGY,D,82,6,30,36,-16,24,1,1,2,78,7.7,1934,115,30,0,0
79,Jonas Brodin\brodijo01,23,MIN,D,68,3,22,25,5,20,2,0,2,85,3.5,1331,89,20,0,0
80,Kyle Brodziak\brodzky01,32,STL,C,69,8,7,15,2,27,0,0,2,55,14.5,773,39,56,323,0
81,Jonny Brodzinski\brodzjo01,23,LAK,C,6,0,2,2,2,2,0,0,0,17,0.0,74,4,10,0,0
82,Troy Brouwer\brouwtr01,31,CGY,RW,74,13,12,25,-11,31,5,1,2,86,15.1,1200,39,171,20,0
83,Connor Brown\brownco02,23,TOR,RW,82,20,16,36,3,10,2,1,4,139,14.4,1329,46,50,2,0
84,Dustin Brown\browndu01,32,LAK,RW,80,14,22,36,-4,22,4,1,1,175,8.0,1280,31,190,2,0
85,J.T. Brown\brownjt01,26,TBL,RW,64,3,3,6,-7,73,0,1,1,67,4.5,664,25,103,12,0
86,Patrick Brown\brownpa02,24,CAR,C,14,0,0,0,-6,0,0,0,0,12,0.0,136,5,30,9,0
87,Pavel Buchnevich\buchnpa01,21,NYR,RW,41,8,12,20,6,13,1,0,0,55,14.5,544,8,17,1,0
88,Andre Burakovsky\burakan01,21,WSH,LW,64,12,23,35,13,14,2,0,1,111,10.8,849,25,31,2,0
89,Erik Burgdoerfer\burgder01,28,BUF,D,2,0,0,0,-1,0,0,0,0,2,0.0,22,0,5,0,0
90,Alexander Burmistrov\burmial01,25,TOT,C,49,5,11,16,-7,12,4,0,0,45,11.1,654,19,60,178,0
91,Brent Burns\burnsbr01,31,SJS,D,82,29,47,76,19,40,8,0,6,320,9.1,2039,142,69,0,0
92,Alexandre Burrows\burroal01,35,TOT,LW,75,15,16,31,3,62,1,0,2,143,10.5,1099,34,68,5,0
93,Chris Butler\butlech01,30,STL,D,1,0,0,0,0,0,0,0,0,1,0.0,21,2,0,0,0
94,Dustin Byfuglien\byfugdu01,31,WPG,D,80,13,39,52,10,117,1,0,1,241,5.4,2196,124,183,0,0
95,Paul Byron\byronpa01,27,MTL,LW,81,22,21,43,21,29,0,1,6,96,22.9,1220,34,119,10,0
96,Drake Caggiula\caggidr01,22,EDM,LW,60,7,11,18,3,16,2,0,2,93,7.5,794,19,97,117,0
97,Mitch Callahan\callami01,25,DET,RW,4,0,0,0,0,0,0,0,0,2,0.0,27,2,3,0,0
98,Ryan Callahan\callary01,31,TBL,RW,18,2,2,4,-4,23,0,0,1,22,9.1,255,13,48,5,0
99,Matt Calvert\calvema01,27,CBJ,LW,65,10,5,15,-4,48,0,3,1,92,10.9,868,34,61,2,0
100,Mike Cammalleri\cammami01,34,NJD,LW,61,10,21,31,-9,21,1,0,3,142,7.0,1059,14,44,17,0
101,Brian Campbell\campbbr02,37,CHI,D,80,5,12,17,12,24,2,0,1,74,6.8,1474,83,43,0,0
102,Patrick Cannone\cannopa01,30,MIN,C,3,0,0,0,0,0,0,0,0,2,0.0,24,1,2,11,0
103,Paul Carey\careypa01,28,WSH,C,6,0,0,0,-2,0,0,0,0,8,0.0,63,1,5,0,0
104,Matt Carle\carlema01,32,NSH,D,6,0,1,1,-1,0,0,0,0,2,0.0,79,5,3,0,0
105,Brandon Carlo\carlobr01,20,BOS,D,82,6,10,16,9,59,0,1,0,88,6.8,1707,115,87,0,0
106,John Carlson\carlsjo01,27,WSH,D,72,9,28,37,7,10,3,0,3,180,5.0,1635,127,58,0,0
107,Gabriel Carlsson\carlsga01,20,CBJ,D,2,0,1,1,-2,0,0,0,0,3,0.0,34,2,5,0,0
108,Ryan Carpenter\carpery01,26,SJS,C,11,2,2,4,5,4,0,0,0,20,10.0,114,2,15,34,0
109,Daniel Carr\carrda01,25,MTL,LW,33,2,7,9,4,6,0,0,1,44,4.5,338,12,19,2,0
110,Connor Carrick\carrico01,22,TOR,D,67,2,6,8,8,51,1,0,0,89,2.2,1095,79,66,0,0
111,Alexandre Carrier\carrial01,20,NSH,D,2,0,0,0,1,0,0,0,0,1,0.0,21,1,0,0,0
112,William Carrier\carriwi01,22,BUF,LW,41,5,3,8,-1,21,0,0,1,50,10.0,369,10,112,1,0
113,Jeff Carter\carteje01,32,LAK,C,82,32,34,66,2,41,10,1,9,250,12.8,1479,37,86,735,0
114,Cody Ceci\cecico01,23,OTT,D,79,2,15,17,-11,20,0,0,0,143,1.4,1833,159,111,1,0
115,Peter Cehlarik\cehlape01,21,BOS,LW,11,0,2,2,0,0,0,0,0,8,0.0,153,4,7,2,0
116,Thomas Chabot\chaboth01,20,OTT,D,1,0,0,0,-2,0,0,0,0,1,0.0,7,0,1,0,0
117,Michael Chaput\chapumi01,24,VAN,C,68,4,5,9,-12,29,0,0,0,64,6.3,750,29,68,203,0
118,Zdeno Chara\charazd01,39,BOS,D,75,10,19,29,18,59,1,2,0,136,7.4,1750,140,130,0,0
119,Ben Chiarot\chiarbe01,25,WPG,D,59,2,10,12,2,33,0,0,0,49,4.1,904,94,78,0,0
120,Alex Chiasson\chiasal01,26,CGY,RW,81,12,12,24,-6,46,0,1,1,104,11.5,1084,18,74,7,0
121,Jason Chimera\chimeja01,37,NYI,LW,82,20,13,33,1,40,0,1,2,121,16.5,1071,30,149,16,0
122,Taylor Chorney\chornta01,29,WSH,D,18,1,4,5,8,11,0,0,1,19,5.3,257,29,27,0,0
123,Jakob Chychrun\chychja01,18,ARI,D,68,7,13,20,-14,47,1,0,0,86,8.1,1133,99,109,0,0
124,Casey Cizikas\cizikca01,25,NYI,C,59,8,17,25,9,30,0,0,1,82,9.8,821,58,144,420,0
125,Fredrik Claesson\claesfr01,24,OTT,D,33,3,8,11,5,4,0,0,0,25,12.0,434,24,55,0,0
126,Adam Clendening\clendad01,24,NYR,D,31,2,9,11,3,17,1,0,0,38,5.3,490,27,22,0,0
127,Kyle Clifford\cliffky01,26,LAK,LW,73,6,6,12,-2,92,0,0,0,122,4.9,783,7,146,2,0
128,Cal Clutterbuck\cluttca01,29,NYI,RW,66,5,15,20,2,28,0,0,1,115,4.3,924,25,222,3,0
129,Braydon Coburn\coburbr01,31,TBL,D,80,5,7,12,-1,50,0,1,0,102,4.9,1339,76,109,0,0
130,Andrew Cogliano\coglian01,29,ANA,LW,82,16,19,35,11,26,0,3,2,178,9.0,1241,27,76,8,0
131,Joe Colborne\colbojo01,27,COL,C,62,4,4,8,-21,34,2,0,0,48,8.3,663,14,86,45,0
132,Ian Cole\coleia01,27,PIT,D,81,5,21,26,26,72,0,0,1,89,5.6,1605,194,164,0,0
133,Blake Coleman\colembl01,25,NJD,C,23,1,1,2,-7,27,0,0,0,29,3.4,295,15,51,96,0
134,Blake Comeau\comeabl01,30,COL,LW,77,8,12,20,-19,58,2,1,1,103,7.8,1154,22,129,114,0
135,J.T. Compher\comphj.01,21,COL,LW,21,3,2,5,0,4,1,0,1,30,10.0,314,21,11,78,0
136,Cory Conacher\conacco01,27,TBL,LW,11,1,3,4,0,4,1,0,0,16,6.3,127,0,1,1,0
137,Erik Condra\condrer01,30,TBL,RW,13,0,0,0,-4,4,0,0,0,8,0.0,125,7,5,1,0
138,Kevin Connauton\connake01,26,ARI,D,24,0,1,1,-1,24,0,0,0,21,0.0,315,22,48,0,0
139,Brett Connolly\connobr01,24,WSH,RW,66,15,8,23,20,40,1,0,3,81,18.5,706,12,89,4,0
140,Kyle Connor\connoky01,20,WPG,LW,20,2,3,5,-7,4,0,0,1,24,8.3,244,8,1,1,0
141,Andrew Copp\coppan01,22,WPG,C,64,9,8,17,8,18,0,1,1,77,11.7,790,28,87,95,0
142,Frank Corrado\corrafr01,23,TOT,D,4,0,0,0,-1,8,0,0,0,3,0.0,43,2,4,0,0
143,Nick Cousins\cousini01,23,PHI,C,60,6,10,16,-6,31,1,0,0,99,6.1,720,24,61,89,0
144,Logan Couture\coutulo01,27,SJS,C,73,25,27,52,11,12,11,0,3,174,14.4,1285,65,57,297,0
145,Sean Couturier\coutuse01,24,PHI,C,66,14,20,34,12,33,0,0,2,120,11.7,1217,35,41,587,0
146,Charlie Coyle\coylech01,24,MIN,C,82,18,38,56,13,36,4,0,5,159,11.3,1370,63,101,114,0
147,Adam Cracknell\crackad01,31,DAL,RW,69,10,6,16,9,12,0,1,2,87,11.5,722,37,91,135,0
148,Joseph Cramarossa\cramajo01,24,TOT,LW,59,4,6,10,0,60,0,0,1,36,11.1,587,23,133,6,0
149,Sidney Crosby\crosbsi01,29,PIT,C,75,44,45,89,17,24,14,0,5,255,17.3,1491,27,80,842,0
150,Lawson Crouse\crousla01,19,ARI,LW,72,5,7,12,-20,48,0,1,2,84,6.0,856,29,160,1,0
151,Matt Cullen\cullema01,40,PIT,C,72,13,18,31,4,30,2,2,2,93,14.0,1002,27,36,440,0
152,Austin Czarnik\czarnau01,24,BOS,C,49,5,8,13,-10,12,0,0,1,66,7.6,638,25,19,57,0
153,Klas Dahlbeck\dahlbkl01,25,CAR,D,43,2,4,6,-12,30,0,0,0,37,5.4,597,38,77,0,0
154,Trevor Daley\daleytr01,33,PIT,D,56,5,14,19,7,37,1,0,0,84,6.0,1141,83,29,0,0
155,Zac Dalpe\dalpeza01,27,MIN,C,9,1,2,3,0,9,0,0,0,8,12.5,77,5,5,27,0
156,Phillip Danault\danauph01,23,MTL,LW,82,13,27,40,5,35,0,0,3,133,9.8,1278,52,76,533,0
157,Marko Daňo\danoma01,22,WPG,C,38,4,7,11,0,10,2,0,0,44,9.1,406,14,83,1,0
158,Laurent Dauphin\dauphla01,21,ARI,C,24,2,1,3,-2,12,0,1,1,32,6.3,262,11,32,37,0
159,Brandon Davidson\davidbr01,25,TOT,D,38,0,3,3,-2,20,0,0,0,42,0.0,597,61,42,0,0
160,Calvin de Haan\dehaaca01,25,NYI,D,82,5,20,25,15,36,1,0,1,116,4.3,1628,190,139,0,0
161,Jacob de La Rose\delarja01,21,MTL,LW,9,0,0,0,-3,4,0,0,0,4,0.0,98,5,23,17,0
162,Jean-Sebastien Dea\deaje01,22,PIT,C,1,0,0,0,0,2,0,0,0,1,0.0,11,0,3,1,0
163,Anthony DeAngelo\deangan01,21,ARI,D,39,5,9,14,-13,37,2,0,1,60,8.3,667,48,31,0,0
164,Danny DeKeyser\dekeyda01,26,DET,D,82,4,8,12,-22,33,0,0,2,85,4.7,1800,170,100,0,0
165,Michael Del Zotto\delzomi01,26,PHI,D,51,6,12,18,-5,28,0,0,0,92,6.5,995,85,173,0,0
166,Dylan DeMelo\demeldy01,23,SJS,D,25,1,7,8,2,14,0,0,0,32,3.1,397,32,36,0,0
167,Jason Demers\demerja01,28,FLA,D,81,9,19,28,-14,53,0,0,2,98,9.2,1588,90,106,0,0
168,David Desharnais\deshada01,30,TOT,C,49,6,8,14,4,12,0,0,1,46,13.0,610,15,5,170,0
169,Andrew Desjardins\desjaan01,30,CHI,LW,46,0,1,1,-6,22,0,0,0,46,0.0,432,17,73,39,0
170,Nicolas Deslauriers\deslani01,25,BUF,LW,42,0,2,2,-6,38,0,0,0,26,0.0,311,5,109,0,0
171,Simon Despres\desprsi01,25,ANA,D,1,0,0,0,0,0,0,0,0,1,0.0,16,1,1,0,0
172,Phillip Di Giuseppe\digiuph01,23,CAR,LW,36,1,6,7,-12,15,0,0,1,68,1.5,443,10,91,0,0
173,Jason Dickinson\dickija01,21,DAL,C,10,2,0,2,-3,0,0,0,0,9,22.2,118,4,8,4,0
174,Christopher Didomenico\didomch01,27,OTT,RW,3,0,0,0,0,6,0,0,0,5,0.0,33,2,2,2,0
175,Brenden Dillon\dillobr01,26,SJS,D,81,2,8,10,-2,60,0,0,0,86,2.3,1334,81,173,0,0
176,Shane Doan\doansh01,40,ARI,RW,74,6,21,27,-3,48,3,0,0,144,4.2,1114,22,101,94,0
177,Max Domi\domima01,21,ARI,LW,59,9,29,38,-9,40,1,0,1,108,8.3,1002,21,28,5,0
178,Joonas Donskoi\donskjo01,24,SJS,RW,61,6,11,17,-5,10,1,0,0,95,6.3,842,27,27,8,0
179,Derek Dorsett\dorsede01,30,VAN,RW,14,1,3,4,-6,33,0,0,0,24,4.2,139,6,35,1,0
180,Jake Dotchin\dotchja01,22,TBL,D,35,0,11,11,10,35,0,0,0,50,0.0,645,19,85,0,0
181,Drew Doughty\doughdr01,27,LAK,D,82,12,32,44,8,46,5,0,1,181,6.6,2226,109,129,1,0
182,Nic Dowd\dowdni01,26,LAK,C,70,6,16,22,-15,25,1,0,2,78,7.7,872,35,145,338,0
183,Justin Dowling\dowliju01,26,DAL,C,9,0,2,2,0,2,0,0,0,11,0.0,94,0,1,38,0
184,Leon Draisaitl\draisle01,21,EDM,C,82,29,48,77,7,20,10,0,5,172,16.9,1548,36,41,476,0
185,Jonathan Drouin\drouijo01,21,TBL,LW,73,21,32,53,-13,16,9,0,6,183,11.5,1293,16,50,96,0
186,Brandon Dubinsky\dubinbr01,30,CBJ,C,80,12,29,41,16,91,1,1,5,115,10.4,1432,60,248,770,0
187,Matt Duchene\duchema01,26,COL,C,77,18,23,41,-34,12,3,1,3,160,11.3,1409,41,42,687,0
188,Anthony Duclair\duclaan01,21,ARI,LW,58,5,10,15,-7,14,0,0,1,76,6.6,771,17,22,4,0
189,Mathew Dumba\dumbama01,22,MIN,D,76,11,23,34,15,59,6,0,1,131,8.4,1545,71,96,0,0
190,Gabriel Dumont\dumonga01,26,TBL,C,39,2,2,4,1,29,0,0,0,34,5.9,377,19,83,133,0
191,Brian Dumoulin\dumoubr01,25,PIT,D,70,1,14,15,0,14,0,0,0,78,1.3,1438,99,113,0,0
192,Christian Dvorak\dvorach01,20,ARI,C,78,15,18,33,7,22,2,0,1,88,17.0,1218,56,72,471,0
193,Ryan Dzingel\dzingry01,24,OTT,LW,81,14,18,32,7,30,1,1,1,123,11.4,1165,21,71,9,0
194,Cody Eakin\eakinco01,25,DAL,C,60,3,9,12,-7,49,0,0,1,82,3.7,1009,39,65,524,0
195,Patrick Eaves\eavespa01,32,TOT,RW,79,32,19,51,-2,24,13,0,2,209,15.3,1296,43,89,2,0
196,Jordan Eberle\eberljo01,26,EDM,RW,82,20,31,51,3,16,4,0,0,208,9.6,1375,37,26,10,0
197,Alexander Edler\edleral01,30,VAN,D,68,6,15,21,-20,36,2,0,0,138,4.3,1653,138,106,2,0
198,Joel Edmundson\edmunjo01,23,STL,D,69,3,12,15,11,60,0,0,1,81,3.7,1226,95,122,0,0
199,Nikolaj Ehlers\ehlerni01,20,WPG,LW,82,25,39,64,1,38,5,0,4,204,12.3,1434,28,43,0,0
200,Jack Eichel\eicheja01,20,BUF,C,61,24,33,57,-13,22,10,0,4,249,9.6,1215,35,26,310,0
201,Aaron Ekblad\ekblaaa01,20,FLA,D,68,10,11,21,-23,58,4,1,2,225,4.4,1459,62,88,0,0
202,Mattias Ekholm\ekholma01,26,NSH,D,82,3,20,23,4,34,0,0,1,120,2.5,1924,108,61,0,0
203,Oliver Ekman-Larsson\ekmanol01,25,ARI,D,79,12,27,39,-25,48,8,0,1,145,8.3,1945,85,112,0,0
204,Remi Elie\eliere01,21,DAL,LW,18,1,6,7,5,8,0,0,0,15,6.7,281,11,30,1,0
205,Lars Eller\ellerla01,27,WSH,C,81,12,13,25,15,36,0,1,2,115,10.4,1126,30,71,416,0
206,Ryan Ellis\ellisry01,26,NSH,D,71,16,22,38,17,29,4,1,3,140,11.4,1701,137,64,0,0
207,Alexei Emelin\emelial01,30,MTL,D,76,2,8,10,1,71,0,0,0,82,2.4,1620,127,241,0,0
208,Deryk Engelland\engelde01,34,CGY,D,81,4,12,16,2,85,0,0,2,107,3.7,1485,134,135,1,0
209,Andreas Englund\engluan01,21,OTT,D,5,0,0,0,-3,2,0,0,0,3,0.0,53,0,18,0,0
210,Tyler Ennis\ennisty01,27,BUF,LW,51,5,8,13,-10,12,0,0,1,89,5.6,655,23,45,3,0
211,Toby Enström\enstrto01,32,WPG,D,60,1,13,14,-7,42,0,1,0,46,2.2,1314,94,24,0,0
212,Jonathan Ericsson\ericsjo01,32,DET,D,51,1,8,9,-2,63,0,0,0,43,2.3,980,36,86,0,0
213,Loui Eriksson\erikslo01,31,VAN,LW,65,11,13,24,-9,8,5,0,1,132,8.3,1214,26,11,0,0
214,Joel Eriksson Ek\eriksjo02,20,MIN,LW,15,3,4,7,1,4,0,0,1,15,20.0,159,8,23,45,0
215,Adam Erne\ernead01,21,TBL,LW,26,3,0,3,-9,11,0,0,0,40,7.5,307,13,71,0,0
216,Emerson Etem\etemem01,24,ANA,LW,3,0,0,0,1,2,0,0,0,0,,26,0,4,0,0
217,Robby Fabbri\fabbrro01,21,STL,C,51,11,18,29,-16,27,4,0,0,91,12.1,796,14,64,13,0
218,Radek Faksa\faksara01,23,DAL,C,80,12,21,33,-6,67,0,0,0,132,9.1,1294,62,101,590,0
219,Justin Falk\falkju01,28,BUF,D,52,0,8,8,-3,29,0,0,0,33,0.0,712,40,101,1,0
220,Bobby Farnham\farnhbo01,28,MTL,RW,3,0,0,0,0,17,0,0,0,4,0.0,25,2,8,1,0
221,Hudson Fasching\faschhu01,21,BUF,RW,10,0,1,1,-1,2,0,0,0,6,0.0,104,2,17,0,0
222,Jesper Fast\fastje01,25,NYR,RW,68,6,15,21,6,16,0,0,1,56,10.7,938,44,99,17,0
223,Justin Faulk\faulkju01,24,CAR,D,75,17,20,37,-18,32,4,0,2,225,7.6,1736,84,117,0,0
224,Mark Fayne\faynema01,29,EDM,D,4,0,2,2,1,0,0,0,0,4,0.0,32,2,1,0,0
225,Taylor Fedun\fedunta01,28,BUF,D,27,0,7,7,3,16,0,0,0,24,0.0,361,20,7,0,0
226,Eric Fehr\fehrer01,31,TOT,C,53,6,5,11,2,14,0,0,3,62,9.7,579,35,82,79,0
227,Micheal Ferland\ferlami01,24,CGY,LW,76,15,10,25,-1,50,2,0,1,106,14.2,879,26,149,3,0
228,Kevin Fiala\fialake01,20,NSH,LW,54,11,5,16,1,18,0,0,1,114,9.6,730,14,44,0,0
229,Vernon Fiddler\fiddlve01,36,TOT,LW,59,2,2,4,-15,66,0,1,0,48,4.2,687,33,57,370,0
230,Valtteri Filppula\filppva01,32,TOT,C,79,12,30,42,-1,26,0,0,1,97,12.4,1375,39,26,556,0
