,Player,Age,Team,Position,Games Played,Goals,Assists,PTS,+/-,PIM,PPG,SHG,GWG,Shots,S%,TOI,BLK,HIT,FOW,Season
0,Spencer Abbott\abbotsp01,28,CHI,LW,1,0,0,0,0,0,0,0,0,1,0.0,9,0,0,0,0
1,Justin Abdelkader\abdelju01,29,DET,LW,64,7,14,21,-20,50,5,0,1,104,6.7,1066,27,144,5,0
2,Pontus Aberg\abergpo01,23,NSH,LW,15,1,1,2,-2,4,0,0,0,12,8.3,185,2,9,1,0
3,Noel Acciari\acciano01,25,BOS,C,29,2,3,5,3,16,0,0,0,24,8.3,301,5,80,11,0
4,Kenny Agostino\agostke01,24,STL,LW,7,1,2,3,0,2,0,0,0,17,5.9,89,3,9,0,0
5,Sebastian Aho\ahose01,19,CAR,RW,82,24,25,49,-1,26,6,1,4,214,11.2,1377,14,51,17,0
6,Karl Alzner\alzneka01,28,WSH,D,82,3,10,13,23,28,0,0,0,81,3.7,1623,162,105,0,0
7,Josh Anderson\anderjo05,22,CBJ,RW,78,17,12,29,12,89,0,0,3,119,14.3,938,40,147,8,0
8,Rasmus Andersson\anderra01,20,CGY,D,1,0,0,0,-1,0,0,0,0,0,,19,2,4,0,0
9,Andy Andreoff\andrean01,25,LAK,LW,36,0,2,2,-2,70,0,0,0,38,0.0,381,7,70,41,0
10,Sven Andrighetto\andrisv01,23,TOT,RW,46,7,17,24,1,12,2,0,0,68,10.3,643,22,40,7,0
11,Artem Anisimov\anisiar01,28,CHI,C,64,22,23,45,9,30,4,0,7,105,21.0,1142,27,18,416,0
12,Josh Archibald\archijo01,24,PIT,RW,10,3,0,3,3,4,0,1,0,11,27.3,109,2,28,0,0
13,Joel Armia\armiajo01,23,WPG,RW,57,10,9,19,-8,20,0,4,1,111,9.0,863,30,68,3,0
14,Viktor Arvidsson\arvidvi01,23,NSH,LW,80,31,30,61,16,28,4,5,6,246,12.6,1372,45,23,4,0
15,Andreas Athanasiou\athanan01,22,DET,C,64,18,11,29,-7,28,1,0,3,120,15.0,862,21,30,37,0
16,Cam Atkinson\atkinca01,27,CBJ,RW,82,35,27,62,13,22,10,3,9,240,14.6,1483,34,33,2,0
17,Brady Austin\austibr01,23,BUF,D,5,0,0,0,0,4,0,0,0,8,0.0,80,0,6,0,0
18,Yohann Auvitu\auvityo01,27,NJD,D,25,2,2,4,1,2,0,0,0,54,3.7,390,9,20,0,0
19,David Backes\backeda01,32,BOS,RW,74,17,21,38,2,69,2,0,2,175,9.7,1267,47,225,60,0
20,Mikael Backlund\backlmi01,27,CGY,C,81,22,31,53,9,36,7,0,7,197,11.2,1426,41,55,711,0
21,Nicklas Backstrom\backsni02,29,WSH,C,82,23,63,86,17,38,8,0,5,162,14.2,1497,33,45,685,0
22,Sven Baertschi\baertsv01,24,VAN,LW,68,18,17,35,-6,8,2,0,5,114,15.8,1080,29,52,1,0
23,Casey Bailey\baileca01,25,OTT,RW,7,0,0,0,-1,0,0,0,0,10,0.0,56,4,4,0,0
24,Josh Bailey\bailejo01,27,NYI,RW,82,13,43,56,5,12,3,0,1,173,7.5,1506,53,37,8,0
25,Justin Bailey\baileju01,21,BUF,RW,32,2,2,4,0,4,0,0,1,36,5.6,340,14,27,0,0
26,Nicholas Baptiste\baptini01,21,BUF,RW,14,3,1,4,1,6,0,0,0,16,18.8,129,1,12,1,0
27,Ivan Barbashev\barbaiv01,21,STL,C,30,5,7,12,5,2,0,0,1,20,25.0,354,14,34,83,0
28,Riley Barber\barberi01,22,WSH,RW,3,0,0,0,0,0,0,0,0,2,0.0,26,0,1,0,0
29,Mark Barberio\barbema01,26,TOT,D,60,2,11,13,-5,14,1,0,0,80,2.5,1096,55,20,0,0
30,Aleksander Barkov\barkoal01,21,FLA,C,61,21,31,52,13,10,3,0,5,142,14.8,1184,30,39,476,0
31,Tyson Barrie\barrity01,25,COL,D,74,7,31,38,-34,18,1,0,2,182,3.8,1725,75,32,0,0
32,Matt Bartkowski\bartkma01,28,CGY,D,24,1,1,2,-4,26,0,0,0,16,6.3,369,12,46,0,0
33,Mathew Barzal\barzama01,19,NYI,C,2,0,0,0,-2,6,0,0,0,0,,20,0,1,6,0
34,Cody Bass\bassco01,30,NSH,C,9,0,0,0,-1,19,0,0,0,1,0.0,61,4,14,0,0
35,Jay Beagle\beaglja01,31,WSH,RW,81,13,17,30,20,22,0,1,4,100,13.0,1104,44,55,624,0
36,Francois Beauchemin\beaucfr01,36,COL,D,81,5,13,18,-14,32,0,0,1,132,3.8,1743,156,73,0,0
37,Nathan Beaulieu\beaulna01,24,MTL,D,74,4,24,28,8,44,2,0,1,118,3.4,1442,102,65,0,0
38,Anthony Beauvillier\beauvan01,19,NYI,LW,66,9,15,24,1,10,0,0,2,101,8.9,859,26,81,123,0
39,Taylor Beck\beckta01,25,TOT,LW,5,0,0,0,-3,4,0,0,0,5,0.0,44,0,5,0,0
40,Matt Beleskey\belesma01,28,BOS,LW,49,3,5,8,-10,47,0,0,0,79,3.8,650,18,98,29,0
41,Pierre-Edouard Bellemare\bellepi01,31,PHI,LW,82,4,4,8,-1,20,0,0,0,90,4.4,1064,70,73,400,0
42,Jamie Benn\bennja01,27,DAL,LW,77,26,43,69,-9,66,12,1,4,201,12.9,1492,47,89,212,0
43,Jordie Benn\bennjo01,29,TOT,D,71,4,13,17,-4,28,0,0,1,68,5.9,1298,144,64,0,0
44,Beau Bennett\bennebe01,25,NJD,RW,65,8,11,19,-3,20,1,0,1,101,7.9,881,13,76,3,0
45,Sam Bennett\bennesa01,20,CGY,C,81,13,13,26,-16,75,4,0,0,122,10.7,1214,46,127,374,0
46,Matt Benning\bennima01,22,EDM,D,62,3,12,15,8,29,1,0,0,69,4.3,1030,64,111,0,0
47,Patrice Bergeron\bergepa01,31,BOS,C,79,21,32,53,12,24,8,0,7,302,7.0,1534,47,54,1086,0
48,Patrik Berglund\berglpa01,28,STL,C,82,23,11,34,-7,32,4,0,5,153,15.0,1311,42,155,584,0
49,Christoph Bertschy\bertsch02,22,MIN,C,5,0,1,1,0,4,0,0,0,5,0.0,41,3,7,0,0
50,Tyler Bertuzzi\bertuty01,21,DET,LW,7,0,0,0,-1,0,0,0,0,3,0.0,64,0,12,1,0
51,Bryan Bickell\bickebr01,30,CAR,LW,11,1,0,1,-4,4,1,0,1,8,12.5,115,3,16,0,0
52,Alex Biega\biegaal01,28,VAN,D,36,0,3,3,-4,18,0,0,0,37,0.0,474,24,97,0,0
53,Kevin Bieksa\biekske01,35,ANA,D,81,3,11,14,0,63,1,0,1,94,3.2,1519,100,173,0,0
54,Anthony Bitetto\bitetan01,26,NSH,D,29,0,7,7,-1,25,0,0,0,17,0.0,342,24,43,0,0
55,Oliver Bjorkstrand\bjorkol01,21,CBJ,RW,26,6,7,13,4,6,0,0,2,55,10.9,366,9,14,1,0
56,Nick Bjugstad\bjugsni01,24,FLA,C,54,7,7,14,-19,22,1,0,1,91,7.7,710,9,72,186,0
57,Joseph Blandisi\blandjo01,22,NJD,LW,27,3,6,9,-10,26,1,0,2,24,12.5,361,6,37,76,0
58,Anton Blidh\blidhan01,21,BOS,LW,19,1,1,2,-2,7,0,0,0,26,3.8,167,4,41,0,0
59,Mike Blunden\blundmi01,30,OTT,RW,2,0,0,0,0,4,0,0,0,1,0.0,16,0,6,0,0
60,Mikkel Boedker\boedkmi01,27,SJS,LW,81,10,16,26,0,10,0,1,2,122,8.2,1162,34,71,5,0
61,Brock Boeser\boesebr01,19,VAN,RW,9,4,1,5,0,0,2,0,1,25,16.0,146,0,5,0,0
62,Zach Bogosian\bogosza01,26,BUF,D,56,2,9,11,-17,46,0,0,1,73,2.7,1125,97,59,0,0
63,Jared Boll\bollja01,30,ANA,RW,51,0,3,3,-3,87,0,0,0,13,0.0,297,14,68,0,0
64,Nick Bonino\boninni01,28,PIT,C,80,18,19,37,-5,16,6,1,1,142,12.7,1332,99,60,582,0
65,Mark Borowiecki\borowma01,27,OTT,D,70,1,2,3,-3,154,0,0,0,50,2.0,981,90,364,1,0
66,Robert Bortuzzo\borturo01,27,STL,D,38,1,3,4,11,15,0,0,0,45,2.2,535,50,77,0,0
67,Reid Boucher\bouchre01,23,TOT,C,39,6,4,10,-6,8,1,0,0,70,8.6,465,14,19,0,0
68,Lance Bouma\boumala01,26,CGY,C,61,3,4,7,-2,35,0,0,1,53,5.7,692,44,127,4,0
69,Michael Bournival\bournmi01,24,TBL,LW,19,2,1,3,-3,2,0,0,0,25,8.0,193,8,31,1,0
70,Gabriel Bourque\bourqga01,26,COL,LW,6,0,0,0,0,0,0,0,0,4,0.0,67,6,17,0,0
