,Player,Age,Team,Position,Games Played,Goals,Assists,PTS,+/-,PIM,PPG,SHG,GWG,Shots,S%,TOI,BLK,HIT,FOW,Season
0,Vitaly Abramov\abramvi01,22,OTT,RW,2,0,0,0,0,0,0,0,0,0,,19,0,0,0,4
1,Noel Acciari\acciano01,29,FLA,C,41,4,7,11,0,9,1,0,1,68,5.9,631,63,91,272,4
2,Calen Addison\addisca01,20,MIN,D,3,0,0,0,0,0,0,0,0,4,0.0,56,1,2,0,4
3,Kenny Agostino\agostke01,28,TOR,LW,1,0,0,0,0,0,0,0,0,0,,4,0,0,0,4
4,Andrew Agozzino\agozzan01,30,ANA,LW,3,0,1,1,0,0,0,0,0,3,0.0,37,7,6,16,4
5,Jack Ahcan\ahcanja01,23,BOS,D,3,0,0,0,-3,0,0,0,0,5,0.0,62,5,2,0,4
6,Sebastian Aho\ahose01,23,CAR,F,56,24,33,57,16,32,7,3,7,148,16.2,1090,25,38,365,4
7,Sebastian Aho\ahose02,24,NYI,D,3,1,1,2,-1,2,0,0,0,4,25.0,40,2,1,0,4
8,Frederic Allard\allarfr01,23,NSH,D,1,0,0,0,-2,0,0,0,0,0,,17,1,0,0,4
9,Wade Allison\alliswa01,23,PHI,RW,14,4,3,7,1,4,1,0,1,24,16.7,181,10,28,0,4
10,Olle Alsing\alsinol01,24,OTT,D,4,0,0,0,-1,0,0,0,0,1,0.0,43,2,4,0,4
11,Mark Alt\altma01,29,LAK,D,2,0,0,0,0,2,0,0,0,3,0.0,27,1,2,0,4
12,Michael Amadio\amadimi01,24,TOT,C,25,0,3,3,-3,4,0,0,0,24,0.0,314,16,8,94,4
13,Joey Anderson\anderjo08,22,TOR,RW,1,0,0,0,1,2,0,0,0,0,,10,3,0,0,4
14,Josh Anderson\anderjo05,26,MTL,RW,52,17,7,24,-10,38,1,1,5,125,13.6,854,25,139,7,4
15,Michael Anderson\andermi02,21,LAK,D,54,1,10,11,0,30,0,0,1,52,1.9,1144,74,66,0,4
16,Jaret Anderson-Dolan\anderja01,21,LAK,C,34,7,4,11,-9,6,1,0,2,37,18.9,459,20,52,132,4
17,Lias Andersson\anderli01,22,LAK,C,23,3,3,6,-4,12,0,0,0,23,13.0,278,9,8,20,4
18,Rasmus Andersson\anderra01,24,CGY,D,56,5,16,21,-9,34,1,0,0,96,5.2,1189,68,49,0,4
19,Andy Andreoff\andrean01,29,PHI,LW,6,0,0,0,-6,9,0,0,0,2,0.0,52,1,14,15,4
20,Anthony Angello\angelan01,24,PIT,C,19,2,2,4,4,8,1,0,0,19,10.5,152,2,51,0,4
21,Artem Anisimov\anisiar01,32,OTT,C,19,2,7,9,1,2,1,0,0,30,6.7,228,9,9,36,4
22,Mason Appleton\applema01,25,WPG,C,56,12,13,25,11,14,0,0,1,88,13.6,807,22,61,7,4
23,Josh Archibald\archijo01,28,EDM,RW,52,7,6,13,2,37,0,0,0,62,11.3,704,35,192,4,4
24,Joel Armia\armiajo01,27,MTL,RW,41,7,7,14,10,10,1,1,0,73,9.6,603,13,86,6,4
25,Viktor Arvidsson\arvidvi01,27,NSH,LW,50,10,15,25,9,21,2,0,2,151,6.6,830,33,15,9,4
26,Rasmus Asplund\asplura01,23,BUF,F,28,7,4,11,1,0,0,0,2,34,20.6,360,3,15,6,4
27,Zach Aston-Reese\astonza01,26,PIT,C,45,9,6,15,10,15,0,1,0,79,11.4,658,24,95,7,4
28,Andreas Athanasiou\athanan01,26,LAK,C,47,10,13,23,-6,27,0,0,1,85,11.8,703,16,11,4,4
29,Cam Atkinson\atkinca01,31,CBJ,RW,56,15,19,34,-16,4,1,4,2,158,9.5,1060,30,22,7,4
30,Nicolas Aube-Kubel\aubekni01,24,PHI,RW,50,3,9,12,-3,44,0,0,0,53,5.7,559,16,120,2,4
31,David Backes\backeda01,36,ANA,C,15,3,1,4,-4,4,0,0,1,30,10.0,191,16,31,81,4
32,Mikael Backlund\backlmi01,31,CGY,C,54,9,23,32,-7,30,0,1,1,144,6.3,950,21,43,387,4
33,Nicklas Backstrom\backsni02,33,WSH,C,55,15,38,53,0,14,5,0,0,91,16.5,1023,27,25,353,4
